representation,split_file,scheme,budget,seed,dataset,cell_type,f1,n_test_cells_class,class_prevalence,n_test_cells_dataset
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE161529,B,0.7232876712328767,600,0.1,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE161529,CD4_T,0.6180758017492711,600,0.1,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE161529,CD8_T,0.49962490622655664,600,0.1,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE161529,Endothelial,0.940864960282436,600,0.1,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE161529,Epithelial,0.9234411996842936,600,0.1,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE161529,Fibroblast,0.933993399339934,600,0.1,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE161529,Malignant,0.8540540540540541,600,0.1,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE161529,Mono_Macro,0.9322916666666666,600,0.1,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE161529,NK,0.5577299412915852,600,0.1,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE161529,Plasma,0.9238095238095239,600,0.1,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE176078,B,0.8437246963562753,623,0.10383333333333333,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE176078,CD4_T,0.6410998552821997,762,0.127,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE176078,CD8_T,0.5608856088560885,762,0.127,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE176078,DC,0.4196642685851319,265,0.04416666666666667,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE176078,Endothelial,0.9867724867724867,762,0.127,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE176078,Fibroblast,0.9793548387096774,762,0.127,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE176078,Malignant,0.7367549668874173,762,0.127,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE176078,Mono_Macro,0.6540583136327817,762,0.127,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,BRCA_GSE176078,Plasma,0.9850467289719627,540,0.09,6000
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,CHOL_GSE125449_aPD1aPDL1aCTLA4,B,0.6896551724137931,50,0.05636978579481398,887
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,CHOL_GSE125449_aPD1aPDL1aCTLA4,CD4_T,0.7322654462242563,163,0.18376550169109357,887
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,CHOL_GSE125449_aPD1aPDL1aCTLA4,CD8_T,0.4807121661721068,251,0.2829763246899662,887
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,10,0,CHOL_GSE125449_aPD1aPDL1aCTLA4,Endothelial,0.9917355371900827,60,0.06764374295377677,887
