dataset,representation,scheme,budget,macro_f1,macro_f1_resample_sd,n_runs
BRCA_GSE161529,geneformer,S1_within_dataset,5,0.6352789244319916,0.04334445564384581,25
BRCA_GSE161529,harmony,S1_within_dataset,5,0.5083713902327456,0.030950595436208372,25
BRCA_GSE161529,hvg_pca,S1_within_dataset,5,0.5459754261402973,0.038564274170291006,25
BRCA_GSE161529,scgpt,S1_within_dataset,5,0.5983281821003101,0.04437345301762723,25
BRCA_GSE161529,scvi,S1_within_dataset,5,0.6104190756167862,0.030612623364667493,25
BRCA_GSE176078,geneformer,S1_within_dataset,5,0.6562179719249939,0.04066506199042329,25
BRCA_GSE176078,harmony,S1_within_dataset,5,0.580933746060988,0.029399701054871386,25
BRCA_GSE176078,hvg_pca,S1_within_dataset,5,0.6532123972925489,0.04101672812380562,25
BRCA_GSE176078,scgpt,S1_within_dataset,5,0.6859894882732811,0.034083633183405154,25
BRCA_GSE176078,scvi,S1_within_dataset,5,0.6761175274219349,0.036393317230516545,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,geneformer,S1_within_dataset,5,0.7114732376295152,0.0551131951773979,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,harmony,S1_within_dataset,5,0.5588771364698056,0.03696843111396262,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,hvg_pca,S1_within_dataset,5,0.7027924238818152,0.05389676687738705,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,scgpt,S1_within_dataset,5,0.7016658300229618,0.0520660969150331,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,scvi,S1_within_dataset,5,0.6887553647580105,0.05055817663251813,25
CRC_GSE108989,geneformer,S1_within_dataset,5,0.561913023544828,0.1794329469912797,25
CRC_GSE108989,harmony,S1_within_dataset,5,0.5654265385627233,0.07486718944417713,25
CRC_GSE108989,hvg_pca,S1_within_dataset,5,0.647361955980006,0.10087225213225755,25
CRC_GSE108989,scgpt,S1_within_dataset,5,0.37996617525540805,0.21232020650821426,25
CRC_GSE108989,scvi,S1_within_dataset,5,0.6472039789239179,0.08452474448026193,25
CRC_GSE146771_10X,geneformer,S1_within_dataset,5,0.6845750738581087,0.11170677722323501,25
CRC_GSE146771_10X,harmony,S1_within_dataset,5,0.5796981605233619,0.0452614913096503,25
CRC_GSE146771_10X,hvg_pca,S1_within_dataset,5,0.7539039093788754,0.07196683859847317,25
CRC_GSE146771_10X,scgpt,S1_within_dataset,5,0.7093138444942398,0.09888042238882044,25
CRC_GSE146771_10X,scvi,S1_within_dataset,5,0.7239205486627962,0.07325871979187963,25
HNSC_GSE103322,geneformer,S1_within_dataset,5,0.44187703206025053,0.09518420603031306,25
HNSC_GSE103322,harmony,S1_within_dataset,5,0.5844740367010605,0.05080659649599076,25
HNSC_GSE103322,hvg_pca,S1_within_dataset,5,0.6281909843866157,0.11289704345890338,25
HNSC_GSE103322,scgpt,S1_within_dataset,5,0.48349167096797446,0.07874021009442998,25
HNSC_GSE103322,scvi,S1_within_dataset,5,0.6230335141749903,0.07735914447299834,25
LIHC_GSE140228_10X,geneformer,S1_within_dataset,5,0.7148381743195802,0.05846551017799402,25
LIHC_GSE140228_10X,harmony,S1_within_dataset,5,0.5503911172597573,0.04392038101316328,25
LIHC_GSE140228_10X,hvg_pca,S1_within_dataset,5,0.7160396476689944,0.053946953737033176,25
LIHC_GSE140228_10X,scgpt,S1_within_dataset,5,0.6106660731306404,0.07394658144185078,25
LIHC_GSE140228_10X,scvi,S1_within_dataset,5,0.7023518198607068,0.04981646929876198,25
LIHC_GSE98638,geneformer,S1_within_dataset,5,0.5374569247003658,0.1765084458268134,25
LIHC_GSE98638,harmony,S1_within_dataset,5,0.5414434680878614,0.08234301395735565,25
LIHC_GSE98638,hvg_pca,S1_within_dataset,5,0.5958554897510644,0.11730127318475995,25
LIHC_GSE98638,scgpt,S1_within_dataset,5,0.3572337490793808,0.22661304335400814,25
LIHC_GSE98638,scvi,S1_within_dataset,5,0.5908286384122108,0.0963794727149429,25
NSCLC_GSE127465,geneformer,S1_within_dataset,5,0.7522028361294546,0.0378631588109218,25
NSCLC_GSE127465,harmony,S1_within_dataset,5,0.5721885033240315,0.03896296921834906,25
NSCLC_GSE127465,hvg_pca,S1_within_dataset,5,0.7387165231554694,0.049551407044930836,25
NSCLC_GSE127465,scgpt,S1_within_dataset,5,0.7230276710884845,0.060700449997315664,25
NSCLC_GSE127465,scvi,S1_within_dataset,5,0.7114489486824354,0.03932199126729989,25
NSCLC_GSE131907,geneformer,S1_within_dataset,5,0.6689709894131721,0.039022733709093135,25
NSCLC_GSE131907,harmony,S1_within_dataset,5,0.5840813290501147,0.026112215971559674,25
NSCLC_GSE131907,hvg_pca,S1_within_dataset,5,0.6702275521018258,0.02998419568005168,25
NSCLC_GSE131907,scgpt,S1_within_dataset,5,0.6428566916535452,0.03362857002936542,25
NSCLC_GSE131907,scvi,S1_within_dataset,5,0.6465772753153716,0.027609779136138456,25
PAAD_GSE111672,geneformer,S1_within_dataset,5,0.641509891611703,0.05666895922590473,25
PAAD_GSE111672,harmony,S1_within_dataset,5,0.4305606685625191,0.05863220321096402,25
PAAD_GSE111672,hvg_pca,S1_within_dataset,5,0.6182726167325123,0.06274145269560326,25
PAAD_GSE111672,scgpt,S1_within_dataset,5,0.6063997263917446,0.07436858110865967,25
PAAD_GSE111672,scvi,S1_within_dataset,5,0.606529009938019,0.06788985046174228,25
PAAD_GSE154778,geneformer,S1_within_dataset,5,0.5550625217848096,0.05135449920202068,25
PAAD_GSE154778,harmony,S1_within_dataset,5,0.39333796779999103,0.033990696473985706,25
PAAD_GSE154778,hvg_pca,S1_within_dataset,5,0.533561350617055,0.06083431858248749,25
PAAD_GSE154778,scgpt,S1_within_dataset,5,0.5462007804917179,0.05190629323285811,25
PAAD_GSE154778,scvi,S1_within_dataset,5,0.5128187028010652,0.05009131940492106,25
STAD_GSE134520,geneformer,S1_within_dataset,5,0.5987865839505949,0.07683244784043491,25
STAD_GSE134520,harmony,S1_within_dataset,5,0.5378129092167652,0.03083704268987251,25
STAD_GSE134520,hvg_pca,S1_within_dataset,5,0.6648691332821742,0.04820300945955908,25
STAD_GSE134520,scgpt,S1_within_dataset,5,0.6522502537742285,0.06921209715184497,25
STAD_GSE134520,scvi,S1_within_dataset,5,0.6340123114548295,0.05582847954728268,25
BRCA_GSE161529,geneformer,S1_within_dataset,10,0.7398835267587125,0.03067216170859678,25
BRCA_GSE161529,harmony,S1_within_dataset,10,0.5812463495816066,0.022174058031502877,25
BRCA_GSE161529,hvg_pca,S1_within_dataset,10,0.6350030095239865,0.045807644284900396,25
BRCA_GSE161529,scgpt,S1_within_dataset,10,0.7089211942788803,0.03197998952281337,25
BRCA_GSE161529,scvi,S1_within_dataset,10,0.6803289866882705,0.023560880202197397,25
BRCA_GSE176078,geneformer,S1_within_dataset,10,0.729695616011632,0.03712849557520901,25
BRCA_GSE176078,harmony,S1_within_dataset,10,0.6489011236759713,0.022823430440480318,25
BRCA_GSE176078,hvg_pca,S1_within_dataset,10,0.7120406949242261,0.03199822543277851,25
BRCA_GSE176078,scgpt,S1_within_dataset,10,0.7582193259758935,0.0224327294197589,25
BRCA_GSE176078,scvi,S1_within_dataset,10,0.7240461037277597,0.028733635586490235,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,geneformer,S1_within_dataset,10,0.7142862759355312,0.056730922485159874,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,harmony,S1_within_dataset,10,0.6437699968245945,0.034659399742792064,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,hvg_pca,S1_within_dataset,10,0.7497863384201484,0.0462095292763686,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,scgpt,S1_within_dataset,10,0.7669258337283898,0.049291084191502806,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,scvi,S1_within_dataset,10,0.7387261472418932,0.06466946541505145,25
CRC_GSE108989,geneformer,S1_within_dataset,10,0.6032739983578094,0.17797698212747293,25
CRC_GSE108989,harmony,S1_within_dataset,10,0.6284154464910425,0.07170291535244772,25
CRC_GSE108989,hvg_pca,S1_within_dataset,10,0.7143885555211662,0.11441412101082123,25
CRC_GSE108989,scgpt,S1_within_dataset,10,0.5173555450561661,0.16354146152830357,25
CRC_GSE108989,scvi,S1_within_dataset,10,0.7218462687827893,0.07300540985078259,25
CRC_GSE146771_10X,geneformer,S1_within_dataset,10,0.7970984346196788,0.08550023520697787,25
CRC_GSE146771_10X,harmony,S1_within_dataset,10,0.6731441485398106,0.03360133845869702,25
CRC_GSE146771_10X,hvg_pca,S1_within_dataset,10,0.7730120647225714,0.07161945244960904,25
CRC_GSE146771_10X,scgpt,S1_within_dataset,10,0.8117100862558455,0.052224015050818265,25
CRC_GSE146771_10X,scvi,S1_within_dataset,10,0.7898274983184693,0.05648823769496115,25
HNSC_GSE103322,geneformer,S1_within_dataset,10,0.589618428089075,0.11637536114767758,25
HNSC_GSE103322,harmony,S1_within_dataset,10,0.6602979642158305,0.036871794297519724,25
HNSC_GSE103322,hvg_pca,S1_within_dataset,10,0.7055163018859121,0.0725046694884879,25
HNSC_GSE103322,scgpt,S1_within_dataset,10,0.6368729595532145,0.073742621290786,25
HNSC_GSE103322,scvi,S1_within_dataset,10,0.6741577425492816,0.08168694252006167,25
LIHC_GSE140228_10X,geneformer,S1_within_dataset,10,0.7513464040180982,0.04112494433539381,25
LIHC_GSE140228_10X,harmony,S1_within_dataset,10,0.6580629208496501,0.04133736511760774,25
LIHC_GSE140228_10X,hvg_pca,S1_within_dataset,10,0.7447257618165471,0.04953541775124293,25
LIHC_GSE140228_10X,scgpt,S1_within_dataset,10,0.7002839737338269,0.05642443356890895,25
LIHC_GSE140228_10X,scvi,S1_within_dataset,10,0.7595491743137686,0.04794164316632948,25
LIHC_GSE98638,geneformer,S1_within_dataset,10,0.5921264777360198,0.18444623248871234,25
LIHC_GSE98638,harmony,S1_within_dataset,10,0.606660418084929,0.06437258368925175,25
LIHC_GSE98638,hvg_pca,S1_within_dataset,10,0.6711308204074087,0.13801697311524977,25
LIHC_GSE98638,scgpt,S1_within_dataset,10,0.529835566813306,0.1731981515394613,25
LIHC_GSE98638,scvi,S1_within_dataset,10,0.682626695045073,0.07069137765864596,25
NSCLC_GSE127465,geneformer,S1_within_dataset,10,0.7721461374350603,0.030106998473541622,25
NSCLC_GSE127465,harmony,S1_within_dataset,10,0.664735722763586,0.02834370785544654,25
NSCLC_GSE127465,hvg_pca,S1_within_dataset,10,0.7630821176021505,0.0341670554211869,25
NSCLC_GSE127465,scgpt,S1_within_dataset,10,0.7557773318536677,0.03447154531416782,25
NSCLC_GSE127465,scvi,S1_within_dataset,10,0.7499032874619739,0.041273261945622995,25
NSCLC_GSE131907,geneformer,S1_within_dataset,10,0.7078362117160663,0.02341550398374654,25
NSCLC_GSE131907,harmony,S1_within_dataset,10,0.6213110019751334,0.020452476761521246,25
NSCLC_GSE131907,hvg_pca,S1_within_dataset,10,0.6809396153576617,0.026452610071115292,25
NSCLC_GSE131907,scgpt,S1_within_dataset,10,0.6910846425163379,0.025608514841643622,25
NSCLC_GSE131907,scvi,S1_within_dataset,10,0.6856125978456741,0.024227197757057166,25
PAAD_GSE111672,geneformer,S1_within_dataset,10,0.6667343165208783,0.06288120243929299,25
PAAD_GSE111672,harmony,S1_within_dataset,10,0.4863714411969594,0.05344152378595766,25
PAAD_GSE111672,hvg_pca,S1_within_dataset,10,0.6452518407892859,0.05325081692333686,25
PAAD_GSE111672,scgpt,S1_within_dataset,10,0.6551649309780335,0.07348832211375113,25
PAAD_GSE111672,scvi,S1_within_dataset,10,0.6763634480310181,0.0708232419509473,25
PAAD_GSE154778,geneformer,S1_within_dataset,10,0.5896172331970924,0.05539004450584555,25
PAAD_GSE154778,harmony,S1_within_dataset,10,0.4509637447609491,0.03875807490589514,25
PAAD_GSE154778,hvg_pca,S1_within_dataset,10,0.5503391420224798,0.07005662728403482,25
PAAD_GSE154778,scgpt,S1_within_dataset,10,0.5777052979706341,0.051105666398870896,25
PAAD_GSE154778,scvi,S1_within_dataset,10,0.5455724430303612,0.05672085665377289,25
STAD_GSE134520,geneformer,S1_within_dataset,10,0.6258088200036195,0.0831317935300938,25
STAD_GSE134520,harmony,S1_within_dataset,10,0.5688750898455188,0.02294031377175617,25
STAD_GSE134520,hvg_pca,S1_within_dataset,10,0.6566552685978669,0.03984127830873705,25
STAD_GSE134520,scgpt,S1_within_dataset,10,0.6717971189603957,0.05179447841434694,25
STAD_GSE134520,scvi,S1_within_dataset,10,0.6604433517564394,0.05194194915914565,25
BRCA_GSE161529,geneformer,S1_within_dataset,25,0.7451856155561961,0.0247949118926286,25
BRCA_GSE161529,harmony,S1_within_dataset,25,0.6312178926748743,0.013546512765396599,25
BRCA_GSE161529,hvg_pca,S1_within_dataset,25,0.6878489547305019,0.03558062392809699,25
BRCA_GSE161529,scgpt,S1_within_dataset,25,0.7329969274720277,0.021014820363387005,25
BRCA_GSE161529,scvi,S1_within_dataset,25,0.6991804588138554,0.02252800328658073,25
BRCA_GSE176078,geneformer,S1_within_dataset,25,0.7441817959657208,0.028391308051356465,25
BRCA_GSE176078,harmony,S1_within_dataset,25,0.6971961118901604,0.011801443888698552,25
BRCA_GSE176078,hvg_pca,S1_within_dataset,25,0.7629424877818005,0.023154977849946114,25
BRCA_GSE176078,scgpt,S1_within_dataset,25,0.7705815858487962,0.020864364690119472,25
BRCA_GSE176078,scvi,S1_within_dataset,25,0.7613951902154292,0.02073240057616028,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,geneformer,S1_within_dataset,25,0.7651902154601659,0.04668764947453489,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,harmony,S1_within_dataset,25,0.7179305634294544,0.015814040667535115,25
