dataset,cells,shards,seconds,n_input_genes,n_mapped,frac_mapped
BRCA_GSE161529,30000,15,746.6,24485,16741,0.6837247294261793
BRCA_GSE176078,30003,16,999.6,24512,16257,0.6632261749347258
CHOL_GSE125449_aPD1aPDL1aCTLA4,4435,3,98.3,17474,14067,0.8050246079890122
CRC_GSE108989,10921,6,818.8,19194,16696,0.8698551630717932
CRC_GSE146771_10X,30002,16,526.9,13489,12254,0.9084439172659203
HNSC_GSE103322,5884,3,0.0,18241,16333,0.8954004714653802
LIHC_GSE140228_10X,30001,16,650.2,22115,14094,0.6373049966086367
LIHC_GSE98638,4801,3,360.1,17251,15238,0.8833111123992812
NSCLC_GSE127465,30000,15,595.8,31797,17792,0.5595496430480863
NSCLC_GSE131907,30005,16,985.8,24294,16309,0.6713180209105128
PAAD_GSE111672,2263,2,0.0,14235,13788,0.9685985247629083
PAAD_GSE154778,14953,8,748.9,19985,15561,0.7786339754816112
STAD_GSE134520,6533,4,108.8,17556,14592,0.8311688311688312
