cells_before,failed_min_genes,failed_max_pct_mito,mito_genes_found,median_genes_per_cell,median_pct_mito,mito_filter_applied,genes_before,genes_dropped_min_cells,cells_after,genes_after,dataset,cells_selected_pre_qc
30000,0,0,13,1038.0,1.8321013450622559,True,27188,2703,30000,24485,BRCA_GSE161529,30000
30003,0,0,13,1408.0,1.7485028505325317,True,24960,448,30003,24512,BRCA_GSE176078,30003
4435,0,0,13,883.0,1.7186293601989746,True,17530,56,4435,17474,CHOL_GSE125449_aPD1aPDL1aCTLA4,4435
10921,0,0,0,3324.0,0.0,False,19194,0,10921,19194,CRC_GSE108989,10921
30002,0,0,13,997.0,1.6860713958740234,True,13489,0,30002,13489,CRC_GSE146771_10X,30002
5884,0,0,0,3629.0,0.0,False,18241,0,5884,18241,HNSC_GSE103322,5884
30001,0,0,15,1170.0,1.6299813985824585,True,22143,28,30001,22115,LIHC_GSE140228_10X,30001
4801,0,0,0,3217.0,0.0,False,17254,3,4801,17251,LIHC_GSE98638,4801
30000,0,0,33,911.0,2.3143692016601562,True,31797,0,30000,31797,NSCLC_GSE127465,30000
30005,0,0,13,1328.0,1.536171555519104,True,25242,948,30005,24294,NSCLC_GSE131907,30005
2263,0,0,13,1229.0,1.6920989751815796,True,14376,141,2263,14235,PAAD_GSE111672,2263
14953,0,0,13,2138.0,0.9661681056022644,True,19985,0,14953,19985,PAAD_GSE154778,14953
6533,0,0,13,889.0,1.899019718170166,True,19124,1568,6533,17556,STAD_GSE134520,6533
