scheme,budget,contrast,delta_mean_n13,ci95_lo_n13,ci95_hi_n13,p_fdr_n13,cohens_dz_n13,n_datasets_n13,n_datasets_favouring_a_n13,delta_mean_n12,ci95_lo_n12,ci95_hi_n12,p_fdr_n12,cohens_dz_n12,n_datasets_n12,n_datasets_favouring_a_n12,delta_shift,sign_flip,sig_change
S1_within_dataset,5,geneformer - hvg_pca,-0.023755094231529685,-0.06182401530624499,0.00972539173750934,0.7215021306818182,-0.3461695828868445,13,6,-0.025985149970194243,-0.06597165416575997,0.010189062409884575,0.596829044117647,-0.3650606006022743,12,5,-0.0022300557386645582,False,False
S1_within_dataset,5,geneformer - scvi,-0.01645027158951585,-0.05353979741921823,0.013548705502957451,0.7460194463315217,-0.2572546165671876,13,7,-0.016162831263897087,-0.05497662822546275,0.016245430508981938,0.7224042338709677,-0.24203061813181867,12,7,0.00028744032561876104,False,False
S1_within_dataset,5,geneformer - harmony,0.09019740103904948,0.035286801357212974,0.13648932571702793,0.031525985054347824,0.93495111170023,13,10,0.09144016563696977,0.034748681451369404,0.14152889070781458,0.049295176630434784,0.9084615695834675,12,9,0.00124276459792029,False,False
S1_within_dataset,5,scgpt - hvg_pca,-0.05935302104964128,-0.11542943495278597,-0.010414069292784371,0.1495655980603448,-0.5887751361088227,13,3,-0.06703053038550576,-0.12538691970894741,-0.016450583649957138,0.073828125,-0.6620779469428935,12,2,-0.007677509335864474,False,False
S1_within_dataset,5,scgpt - scvi,-0.052048198407627456,-0.10848195017872993,-0.003542172915779141,0.4581298828125,-0.5186221323873077,13,5,-0.05720821167920859,-0.11683996320943732,-0.007000110966794053,0.3653192934782609,-0.5553966824556575,12,4,-0.005160013271581131,False,False
S1_within_dataset,5,scgpt - harmony,0.05459947422093787,-0.01595779851126236,0.11600789056738162,0.421875,0.4301794340659026,13,10,0.050394785221658266,-0.024832601309876794,0.1157006984242308,0.5200009889240507,0.38288897328396465,12,9,-0.004204688999279602,False,False
S1_within_dataset,10,geneformer - hvg_pca,-0.009415357784010592,-0.043098231498420035,0.022794210774272492,0.8671576052295918,-0.14914165149364164,13,8,-0.011671214356628637,-0.047361976192299544,0.022742436525588796,0.7540471971649485,-0.17849195039174695,12,7,-0.0022558565726180455,False,False
S1_within_dataset,10,geneformer - scvi,-0.016117835722576798,-0.04494905984841512,0.01118009240014724,0.5811054180194806,-0.30044101491037417,13,6,-0.017931781389780892,-0.04856836967004048,0.010491846525273575,0.5200009889240507,-0.3224283812613865,12,5,-0.0018139456672040949,False,False
S1_within_dataset,10,geneformer - harmony,0.07590127012259167,0.03533835075883933,0.11286917807663888,0.017346833881578948,1.025794106169021,13,10,0.07549350160483591,0.03311413837488607,0.1152031143927044,0.033804086538461536,0.9770396647462015,12,9,-0.00040776851775575773,False,False
S1_within_dataset,10,scgpt - hvg_pca,-0.01693982491667843,-0.06112426133498083,0.020136266094881998,0.9548864632009346,-0.21814256151390943,13,8,-0.022199696247373918,-0.06789882446127703,0.016349704482355346,0.9268315153301887,-0.2822524821685899,12,7,-0.005259871330695488,False,False
S1_within_dataset,10,scgpt - scvi,-0.023642302855244636,-0.0660134125409264,0.011790968418915035,0.8671576052295918,-0.3146896929722991,13,8,-0.02846026328052617,-0.07354441607576534,0.00816689000413664,0.7224042338709677,-0.372793759165113,12,7,-0.004817960425281535,False,False
S1_within_dataset,10,scgpt - harmony,0.06837680298992382,0.01955836163185169,0.1106363389267301,0.04735331632653061,0.7864450858652318,13,10,0.06496501971409063,0.013693967399998515,0.11023984121512369,0.073828125,0.7226631425707352,12,9,-0.003411783275833191,False,True
S1_within_dataset,25,geneformer - hvg_pca,-0.009727696689248274,-0.03286372239871314,0.010855434298323492,0.7460194463315217,-0.23103179208414257,13,6,-0.00897494709534565,-0.03336716998391587,0.013254704153139292,0.8827937199519231,-0.20450477963879096,12,6,0.0007527495939026237,False,False
S1_within_dataset,25,geneformer - scvi,0.00456742937056404,-0.01746357118684382,0.024835425502348865,0.6803347565406976,0.1112681114942031,13,7,0.006382498005586749,-0.01706616144941124,0.028276938463090116,0.596829044117647,0.1507946405502859,12,7,0.0018150686350227093,False,False
S1_within_dataset,25,geneformer - harmony,0.07402617544867701,0.04801144623019356,0.09896381686005658,0.002197265625,1.5111523274461793,13,12,0.07627954972977007,0.04881512738683597,0.10263721393824458,0.00439453125,1.511797801769431,12,11,0.002253374281093054,False,False
S1_within_dataset,25,scgpt - hvg_pca,-0.016212620475473456,-0.039684599834961705,0.004649571995895856,0.8359786184210526,-0.38110573576711626,13,8,-0.018200263687345886,-0.043354683919117565,0.004020691145344017,0.69873046875,-0.41555387263085264,12,7,-0.00198764321187243,False,False
S1_within_dataset,25,scgpt - scvi,-0.0019174944156611447,-0.021535764106871257,0.015646489392432433,0.9548864632009346,-0.0540593188105406,13,8,-0.002842818586413489,-0.023572402496334913,0.01630322468827281,0.8375459558823529,-0.07707632742112804,12,7,-0.0009253241707523443,False,False
S1_within_dataset,25,scgpt - harmony,0.06754125166245183,0.04083510813284566,0.09299363730064535,0.0042527721774193545,1.3593942258359253,13,12,0.06705423313776983,0.03864841318868711,0.09424428140475585,0.008505544354838709,1.2929437692932682,12,11,-0.000487018524681998,False,False
S1_within_dataset,50,geneformer - hvg_pca,-0.0031739170624499003,-0.019108640555905606,0.013501307914816916,0.7460194463315217,-0.10059860421608127,13,5,-0.0023379874283563917,-0.019401665639260046,0.015537762200267988,0.8000710227272727,-0.07127464010779698,12,5,0.0008359296340935086,False,False
S1_within_dataset,50,geneformer - scvi,0.011813293140915154,-0.003546073038270477,0.028184117211968465,0.3873650045955882,0.384972700726601,13,7,0.012952860580431344,-0.003492989678806568,0.030610272056174923,0.3233857996323529,0.40781085869445055,12,7,0.0011395674395161901,False,False
S1_within_dataset,50,geneformer - harmony,0.07840658619069478,0.05585238117103209,0.10236814535681901,0.0017578124999999998,1.7427913756907407,13,13,0.08016075740979993,0.05589907982115562,0.10584200813296335,0.0035156249999999997,1.7230387561345941,12,12,0.0017541712191051495,False,False
S1_within_dataset,50,scgpt - hvg_pca,-0.01194386457248857,-0.032371914980836844,0.006704603912059176,0.6471079631024097,-0.3172983815694199,13,7,-0.013873059415770198,-0.035508180626843466,0.0059772077177720016,0.5200009889240507,-0.35904198852639224,12,6,-0.0019291948432816272,False,False
