scheme,budget,contrast,delta_on_flagged,delta_others_mean,delta_others_sd,z_vs_others,rank_of_flagged,n_datasets
S1_within_dataset,5,geneformer - hvg_pca,0.003005574632444996,-0.025985149970194243,0.07118037368953027,0.40728536673731186,6,13
S1_within_dataset,5,scgpt - hvg_pca,0.032777090980732226,-0.06703053038550576,0.10124265684277108,0.9858257821230265,2,13
S1_within_dataset,10,geneformer - hvg_pca,0.01765492108740596,-0.011671214356628637,0.06538790310158596,0.4484948140709425,6,13
S1_within_dataset,10,scgpt - hvg_pca,0.04617863105166742,-0.022199696247373918,0.07865190795421952,0.8693791298596587,2,13
S1_within_dataset,25,geneformer - hvg_pca,-0.018760691816079755,-0.00897494709534565,0.04388624613663191,-0.22297976204818143,9,13
S1_within_dataset,25,scgpt - hvg_pca,0.007639098066995698,-0.018200263687345886,0.04379760335794935,0.5899720480858616,3,13
S1_within_dataset,50,geneformer - hvg_pca,-0.013205072671572005,-0.0023379874283563917,0.032802514678718545,-0.3312881756064241,9,13
S1_within_dataset,50,scgpt - hvg_pca,0.011206473546890972,-0.013873059415770198,0.03863910032558887,0.649071348745979,4,13
S1_within_dataset,100,geneformer - hvg_pca,-0.01320957419277391,0.002629226738011562,0.03351120886147571,-0.4726418851751321,8,13
S1_within_dataset,100,scgpt - hvg_pca,0.014434378936121539,-0.00789887117093288,0.03392956123811736,0.6582239584626476,4,13
S1_within_dataset,all,geneformer - hvg_pca,0.027879106980558954,0.05329085514420614,0.022182060238969067,-1.1455990962915275,11,13
S1_within_dataset,all,scgpt - hvg_pca,0.06240474546790742,0.05069105661216174,0.023818930229666538,0.49178064433625346,4,13
S2_leave_donor_out,5,geneformer - hvg_pca,0.022678716940012666,-0.0264750669338354,0.08829524762135807,0.5566979559832853,6,13
S2_leave_donor_out,5,scgpt - hvg_pca,0.06584767282177117,-0.057333431328314984,0.09522653632350948,1.2935585909751846,1,13
S2_leave_donor_out,10,geneformer - hvg_pca,0.017305969902377205,-0.019657469433761607,0.06973605471477734,0.5300477563194598,5,13
S2_leave_donor_out,10,scgpt - hvg_pca,0.03913485787594895,-0.033383523073433514,0.08718911685610191,0.8317366153515211,4,13
S2_leave_donor_out,25,geneformer - hvg_pca,-0.011840143581939189,-0.0049938667531414975,0.03338242663801427,-0.20508625400531807,8,13
S2_leave_donor_out,25,scgpt - hvg_pca,0.006485564590696047,-0.029712111691098494,0.05454611508137092,0.6636160288921675,5,13
S2_leave_donor_out,50,geneformer - hvg_pca,-0.023126135581481466,-0.008164322840185432,0.03547544440704634,-0.42175124205982406,9,13
S2_leave_donor_out,50,scgpt - hvg_pca,-0.003771424331717954,-0.032279236500925464,0.04824439114891999,0.5909041753933647,4,13
S2_leave_donor_out,100,geneformer - hvg_pca,-0.008215546629249726,-0.0006912829787678506,0.035555683792053226,-0.21161915193327163,8,13
S2_leave_donor_out,100,scgpt - hvg_pca,0.005648478841474236,-0.022262756203296458,0.04579229127619492,0.6095182020140653,5,13
S2_leave_donor_out,all,geneformer - hvg_pca,0.01536335010461165,0.04390773858715421,0.028427711863642617,-1.0041043267731007,11,13
S2_leave_donor_out,all,scgpt - hvg_pca,0.05637216272882317,0.025264136129344323,0.040181040020482686,0.7741966505501406,4,13
S3_leave_dataset_out,5,geneformer - hvg_pca,-0.0015071275009813645,-0.057159735706215554,0.09569223125285202,0.5815791676774755,6,13
S3_leave_dataset_out,5,scgpt - hvg_pca,0.03893807825647677,-0.04553075003298479,0.09221994049498765,0.9159497158215215,1,13
S3_leave_dataset_out,10,geneformer - hvg_pca,-0.020060636507597818,-0.06770708200616284,0.08476344144682281,0.5621107954713765,6,13
S3_leave_dataset_out,10,scgpt - hvg_pca,0.01942213180587604,-0.04997278830605234,0.08680873546321217,0.7994001956328067,4,13
S3_leave_dataset_out,25,geneformer - hvg_pca,-0.036254282574316954,-0.07958791083785009,0.0798132855349178,0.5429375319297557,6,13
S3_leave_dataset_out,25,scgpt - hvg_pca,0.004671245523413137,-0.055721521316741386,0.07823754371582568,0.7719154254064143,4,13
S3_leave_dataset_out,50,geneformer - hvg_pca,-0.05610152749449793,-0.08528501305804602,0.07987767590398694,0.36535221178225913,6,13
S3_leave_dataset_out,50,scgpt - hvg_pca,-0.0016073253448892766,-0.06377500496797393,0.07588045692271023,0.819284465912046,4,13
S3_leave_dataset_out,100,geneformer - hvg_pca,-0.05848962386991885,-0.10304234531575761,0.08847483161948869,0.5035637890496416,6,13
S3_leave_dataset_out,100,scgpt - hvg_pca,-0.016386397924874285,-0.07514084289558186,0.08900265084236803,0.660142640860969,5,13
S3_leave_dataset_out,all,geneformer - hvg_pca,-0.0898987484381556,-0.10858245398925874,0.15859315833546464,0.11780902623543432,10,13
S3_leave_dataset_out,all,scgpt - hvg_pca,-0.048145421260543886,-0.08567344131738579,0.09478273423789266,0.39593730185764975,6,13
