scheme,budget,stratum,contrast,n_class_instances_n13,delta_mean_n13,ci95_lo_n13,ci95_hi_n13,p_raw_n13,p_fdr_n13,n_class_instances_n12,delta_mean_n12,ci95_lo_n12,ci95_hi_n12,p_raw_n12,p_fdr_n12,delta_shift,sign_flip,sig_change
S1_within_dataset,10,1-5% (rare),geneformer - hvg_pca,20,-0.012513388254235164,-0.05070208611077547,0.02449494983506299,0.7285060882568359,0.8006468380198759,19,-0.01638464907601747,-0.056070865928575894,0.02191563734885256,0.5152778625488281,0.5826337068999623,-0.0038712608217823068,False,False
S1_within_dataset,10,5-20% (uncommon),geneformer - hvg_pca,60,0.011543362127223615,-0.017467453378526617,0.038230897124830625,0.011813454012901615,0.026580271529028636,52,0.011437461638584454,-0.022513276615486074,0.04282888315200101,0.027533217479550467,0.061949739328988555,-0.00010590048863916117,False,True
S1_within_dataset,10,>20% (common),geneformer - hvg_pca,17,-0.01492745684781402,-0.05647125675214037,0.01871048075131215,0.8536376953125,0.8536376953125,17,-0.01492745684781402,-0.05647125675214037,0.01871048075131215,0.8536376953125,0.8536376953125,0.0,False,False
S1_within_dataset,10,1-5% (rare),scgpt - hvg_pca,20,-0.00927370836461667,-0.038746102813266944,0.021803890030058726,0.5958194732666016,0.7149833679199219,19,-0.01228163859573691,-0.04244966577829733,0.019624948756541322,0.4653167724609375,0.558380126953125,-0.00300793023112024,False,False
S1_within_dataset,10,5-20% (uncommon),scgpt - hvg_pca,60,0.0028121395559568218,-0.019815040976854232,0.025700436600079,0.10220093875898684,0.15330140813848026,52,-0.0038269680784794313,-0.029128429369082144,0.020779025302275766,0.32087863750496504,0.4399770100911458,-0.0066391076344362535,True,False
S1_within_dataset,10,>20% (common),scgpt - hvg_pca,17,-0.006720544892414369,-0.048223322298718736,0.03456129279320113,0.7819061279296875,0.8042463030133928,17,-0.006720544892414369,-0.048223322298718736,0.03456129279320113,0.7819061279296875,0.8042463030133928,0.0,False,False
S1_within_dataset,all,1-5% (rare),geneformer - hvg_pca,20,0.03483791103899791,0.00986829300487601,0.06171488449999079,0.03623390197753906,0.07673061595243566,19,0.03388637154331465,0.008107866752253778,0.06357751278346033,0.060207366943359375,0.10321262904575892,-0.0009515394956832596,False,False
S1_within_dataset,all,5-20% (uncommon),geneformer - hvg_pca,60,0.0573888451505984,0.04115152599862121,0.07453883342438362,5.191863680927711e-10,9.34535462566988e-09,52,0.062410305916689494,0.04442593686020509,0.08168315553292133,4.02729886552611e-09,4.8327586386313326e-08,0.005021460766091092,False,False
S1_within_dataset,all,>20% (common),geneformer - hvg_pca,17,0.03722903786610965,0.02065530858681523,0.05748343613162475,0.000213623046875,0.0010986328125,17,0.03722903786610965,0.02065530858681523,0.05748343613162475,0.000213623046875,0.0009613037109375,0.0,False,False
S1_within_dataset,all,1-5% (rare),scgpt - hvg_pca,20,0.05901781250671392,0.02979442388632168,0.09247953294287714,0.0010166168212890625,0.003659820556640625,19,0.052170985347408626,0.024415147448763053,0.08360765176748582,0.00202178955078125,0.006616765802556818,-0.006846827159305291,False,False
