representation,split_file,scheme,holdout_group,budget,seed,n_train_used,C_selected,inner_cv_folds_used,cv_selection_cells,n_dims_selected,seconds,pooled_macro_f1,pooled_macro_f1_all_test_classes,dataset,n_datasets_in_run,n_test,n_classes_learnable,n_classes_test_only,macro_f1,macro_f1_all_test_classes,accuracy
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,BRCA_GSE161529,13,6000,10,0,0.6732291003538365,0.6732291003538365,0.6785
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,BRCA_GSE176078,13,6000,9,0,0.6652255882663207,0.6652255882663207,0.6525
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,CHOL_GSE125449_aPD1aPDL1aCTLA4,13,887,8,0,0.7754833176433404,0.7754833176433404,0.608793686583991
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,CRC_GSE108989,13,2184,3,0,0.41628465162458195,0.41628465162458195,0.4757326007326007
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,CRC_GSE146771_10X,13,6000,7,0,0.8470099911926098,0.8470099911926098,0.838
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,HNSC_GSE103322,13,1176,8,0,0.4470192988740391,0.4470192988740391,0.5578231292517006
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,LIHC_GSE140228_10X,13,5999,9,0,0.7280599139335711,0.7280599139335711,0.7649608268044674
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,LIHC_GSE98638,13,960,3,0,0.3871467540641025,0.3871467540641025,0.440625
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,NSCLC_GSE127465,13,6000,12,0,0.7604769835894665,0.7604769835894665,0.7736666666666666
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,NSCLC_GSE131907,13,6007,10,0,0.6667150091383789,0.6667150091383789,0.6465789911769602
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,PAAD_GSE111672,13,453,7,0,0.7131575170643714,0.7131575170643714,0.8631346578366446
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,PAAD_GSE154778,13,2989,6,0,0.5518876547218222,0.5518876547218222,0.810304449648712
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,2.6,0.7058690173160614,0.7058690173160614,STAD_GSE134520,13,1308,6,0,0.5009347866239632,0.5009347866239632,0.5940366972477065
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,BRCA_GSE161529,13,6000,10,0,0.6149785137593219,0.6149785137593219,0.6093333333333333
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,BRCA_GSE176078,13,6000,9,0,0.6548609207593776,0.6548609207593776,0.6235
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,CHOL_GSE125449_aPD1aPDL1aCTLA4,13,887,8,0,0.7132145490238446,0.7132145490238446,0.5456595264937993
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,CRC_GSE108989,13,2184,3,0,0.5066280611896177,0.5066280611896177,0.5961538461538461
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,CRC_GSE146771_10X,13,6000,7,0,0.518807176725521,0.518807176725521,0.5491666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,HNSC_GSE103322,13,1176,8,0,0.38547536856252823,0.38547536856252823,0.45663265306122447
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,LIHC_GSE140228_10X,13,5999,9,0,0.7007091684507106,0.7007091684507106,0.669111518586431
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,LIHC_GSE98638,13,960,3,0,0.5300279800431499,0.5300279800431499,0.63125
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,NSCLC_GSE127465,13,6000,12,0,0.7696463782990445,0.7696463782990445,0.7681666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,NSCLC_GSE131907,13,6007,10,0,0.6328827834144151,0.6328827834144151,0.6007990677542867
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,PAAD_GSE111672,13,453,7,0,0.633170395399063,0.633170395399063,0.24282560706401765
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,PAAD_GSE154778,13,2989,6,0,0.5799230797114208,0.5799230797114208,0.4536634325861492
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,2.62,0.6602801469848056,0.6602801469848056,STAD_GSE134520,13,1308,6,0,0.5943994152599142,0.5943994152599142,0.6406727828746177
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,2.65,0.7240513236140148,0.7240513236140148,BRCA_GSE161529,13,6000,10,0,0.713811899716589,0.713811899716589,0.7253333333333334
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,2.65,0.7240513236140148,0.7240513236140148,BRCA_GSE176078,13,6000,9,0,0.678421147166929,0.678421147166929,0.6458333333333334
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,2.65,0.7240513236140148,0.7240513236140148,CHOL_GSE125449_aPD1aPDL1aCTLA4,13,887,8,0,0.7206088429565495,0.7206088429565495,0.5636978579481398
