contrast,metric,n_datasets,delta_mean,delta_median,ci95_lo,ci95_hi,cohens_dz,wilcoxon_stat,p_raw,ttest_p,n_datasets_favouring_a,n_runs_a,n_runs_b,datasets,scheme,budget,hypothesis,p_fdr,significant_fdr_005,negligible_effect,verdict
scgpt - hvg_pca,macro_f1,13,-0.01693982491667843,0.010145027158676267,-0.06112426133498083,0.020136266094881998,-0.21814256151390943,44.0,0.946044921875,0.4468152372046566,8,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,10,H1,0.9548864632009346,False,True,no detectable difference
scgpt - scvi,macro_f1,13,-0.023642302855244636,0.005874044391693811,-0.0660134125409264,0.011790968418915035,-0.3146896929722991,41.0,0.786865234375,0.278687135188372,8,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,10,H1,0.8671576052295918,False,False,no detectable difference
scgpt - harmony,macro_f1,13,0.06837680298992382,0.10292202911487691,0.01955836163185169,0.1106363389267301,0.7864450858652318,13.0,0.021484375,0.015019740853903304,10,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,10,H1,0.04735331632653061,True,False,scFM better
geneformer - hvg_pca,macro_f1,13,-0.009415357784010592,0.009064019832909831,-0.043098231498420035,0.022794210774272492,-0.14914165149364164,41.0,0.786865234375,0.6005887886937248,8,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,10,H1,0.8671576052295918,False,True,no detectable difference
geneformer - scvi,macro_f1,13,-0.016117835722576798,-0.008202770295670403,-0.04494905984841512,0.01118009240014724,-0.30044101491037417,33.0,0.414306640625,0.29998122283042444,6,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,10,H1,0.5811054180194806,False,True,no detectable difference
geneformer - harmony,macro_f1,13,0.07590127012259167,0.0865252097409328,0.03533835075883933,0.11286917807663888,1.025794106169021,8.0,0.006103515625,0.003043808012159656,10,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,10,H1,0.017346833881578948,True,False,scFM better
scgpt - hvg_pca,macro_f1,13,-0.006180928855005618,0.0031310753182427487,-0.024825159021796574,0.009597386075722986,-0.1869024564630479,45.0,1.0,0.5131553097119953,7,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,100,H1,1.0,False,True,no detectable difference
scgpt - scvi,macro_f1,13,0.011032660956876281,0.016367282000101957,-0.0058850392493917094,0.026707374724377623,0.3579711578989673,28.0,0.243896484375,0.221126829935314,9,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,100,H1,0.3873650045955882,False,True,no detectable difference
scgpt - harmony,macro_f1,13,0.07457959215258365,0.07700167061895435,0.0496063666948791,0.09918816143874484,1.5805966911879656,1.0,0.00048828125,9.929971695956711e-05,12,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,100,H1,0.002197265625,True,False,scFM better
geneformer - hvg_pca,macro_f1,13,0.001410857435643449,0.005457039653415929,-0.014937466785460457,0.01846052728667084,0.04356666835619804,44.0,0.946044921875,0.8777923328259348,7,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,100,H1,0.9548864632009346,False,True,no detectable difference
geneformer - scvi,macro_f1,13,0.018624447247525346,0.012254634084396088,0.0030500878859104374,0.03598374475911662,0.5839812743567233,16.0,0.039794921875,0.0569779658407099,10,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,100,H1,0.08109153891509434,False,True,no detectable difference
geneformer - harmony,macro_f1,13,0.08217137844323273,0.06587734895207265,0.05856094899955964,0.10690661358541656,1.77973127703299,0.0,0.000244140625,3.318442108395851e-05,13,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,100,H1,0.0017578124999999998,True,False,scFM better
