dataset,label_raw,working_class,cl_term,n_cells,action,drop_reason
BRCA_GSE161529,B,B,CL:0000236,5302,map,
BRCA_GSE161529,CD4Tconv,CD4_T,CL:0000624,15111,map,
BRCA_GSE161529,CD8T,CD8_T,CL:0000625,4503,map,
BRCA_GSE161529,Endothelial,Endothelial,CL:0000115,14892,map,
BRCA_GSE161529,Epithelial,Epithelial,CL:0000066,71930,map,
BRCA_GSE161529,Fibroblasts,Fibroblast,CL:0000057,28671,map,
BRCA_GSE161529,Malignant,Malignant,CL:0001064,151781,map,
BRCA_GSE161529,Mono/Macro,Mono_Macro,CL:0000576,18659,map,
BRCA_GSE161529,NK,NK,CL:0000623,6929,map,
BRCA_GSE161529,Pericytes,,,8604,drop,"non-TME resident cell type, not part of the immune question"
BRCA_GSE161529,Plasma,Plasma,CL:0000786,5786,map,
BRCA_GSE176078,B,B,CL:0000236,3116,map,
BRCA_GSE176078,CD4Tconv,CD4_T,CL:0000624,15613,map,
BRCA_GSE176078,CD8Tex,CD8_T,CL:0000625,13500,map,
BRCA_GSE176078,DC,DC,CL:0000451,1324,map,
BRCA_GSE176078,Endothelial,Endothelial,CL:0000115,6930,map,
BRCA_GSE176078,Fibroblasts,Fibroblast,CL:0000057,5636,map,
BRCA_GSE176078,Malignant,Malignant,CL:0001064,26917,map,
BRCA_GSE176078,Mono/Macro,Mono_Macro,CL:0000576,7367,map,
BRCA_GSE176078,Plasma,Plasma,CL:0000786,2703,map,
BRCA_GSE176078,SMC,,,4966,drop,"smooth muscle -- structural stroma, not part of the immune question"
BRCA_GSE176078,Tprolif,,,1399,drop,proliferating compartment spans multiple identities
CHOL_GSE125449_aPD1aPDL1aCTLA4,B,B,CL:0000236,253,map,
CHOL_GSE125449_aPD1aPDL1aCTLA4,CD4Tconv,CD4_T,CL:0000624,818,map,
CHOL_GSE125449_aPD1aPDL1aCTLA4,CD8T,CD8_T,CL:0000625,697,map,
CHOL_GSE125449_aPD1aPDL1aCTLA4,CD8Tex,CD8_T,CL:0000625,555,map,
CHOL_GSE125449_aPD1aPDL1aCTLA4,Endothelial,Endothelial,CL:0000115,300,map,
CHOL_GSE125449_aPD1aPDL1aCTLA4,Fibroblasts,Fibroblast,CL:0000057,394,map,
CHOL_GSE125449_aPD1aPDL1aCTLA4,Hepatic progenitor,,,1130,drop,"tissue parenchyma progenitor, not part of the immune question"
CHOL_GSE125449_aPD1aPDL1aCTLA4,Malignant,Malignant,CL:0001064,772,map,
CHOL_GSE125449_aPD1aPDL1aCTLA4,Mono/Macro,Mono_Macro,CL:0000576,400,map,
CHOL_GSE125449_aPD1aPDL1aCTLA4,Plasma,Plasma,CL:0000786,246,map,
CHOL_GSE125449_aPD1aPDL1aCTLA4,Tprolif,,,197,drop,proliferating compartment spans multiple identities
CRC_GSE108989,CD4Tconv,CD4_T,CL:0000624,5242,map,
CRC_GSE108989,CD8T,CD8_T,CL:0000625,3184,map,
CRC_GSE108989,CD8Tex,CD8_T,CL:0000625,772,map,
CRC_GSE108989,Tprolif,,,204,drop,proliferating compartment spans multiple identities
CRC_GSE108989,Treg,Treg,CL:0000815,1723,map,
CRC_GSE146771_10X,B,B,CL:0000236,4809,map,
CRC_GSE146771_10X,CD4Tconv,CD4_T,CL:0000624,9303,map,
CRC_GSE146771_10X,CD8T,CD8_T,CL:0000625,7992,map,
CRC_GSE146771_10X,CD8Tex,CD8_T,CL:0000625,2297,map,
CRC_GSE146771_10X,Mast,Mast,CL:0000097,445,map,
CRC_GSE146771_10X,Mono/Macro,Mono_Macro,CL:0000576,12226,map,
CRC_GSE146771_10X,NK,NK,CL:0000623,1332,map,
CRC_GSE146771_10X,Plasma,Plasma,CL:0000786,5083,map,
CRC_GSE146771_10X,Tproilf,,,330,drop,"proliferating compartment spans multiple identities (source-data misspelling of 'Tprolif'; mapped by an explicit rule, not by fuzzy matching)"
HNSC_GSE103322,CD4Tconv,CD4_T,CL:0000624,417,map,
HNSC_GSE103322,CD8T,CD8_T,CL:0000625,397,map,
HNSC_GSE103322,CD8Tex,CD8_T,CL:0000625,501,map,
HNSC_GSE103322,Endothelial,Endothelial,CL:0000115,269,map,
HNSC_GSE103322,Fibroblasts,Fibroblast,CL:0000057,744,map,
HNSC_GSE103322,Malignant,Malignant,CL:0001064,2488,map,
HNSC_GSE103322,Mast,Mast,CL:0000097,122,map,
HNSC_GSE103322,Mono/Macro,Mono_Macro,CL:0000576,88,map,
HNSC_GSE103322,Myocyte,,,18,drop,"muscle -- structural stroma, not part of the immune question"
HNSC_GSE103322,Myofibroblasts,Fibroblast,CL:0000186,710,map,
HNSC_GSE103322,Plasma,Plasma,CL:0000786,148,map,
LIHC_GSE140228_10X,B,B,CL:0000236,3381,map,
LIHC_GSE140228_10X,CD4Tconv,CD4_T,CL:0000624,12444,map,
LIHC_GSE140228_10X,CD8T,CD8_T,CL:0000625,19969,map,
LIHC_GSE140228_10X,CD8Tex,CD8_T,CL:0000625,3757,map,
LIHC_GSE140228_10X,DC,DC,CL:0000451,2270,map,
LIHC_GSE140228_10X,ILC,,,202,drop,"innate lymphoid cells: immune, but 202 cells in one dataset only -- too rare to form a class in a cross-dataset design, and not equivalent to NK. Dropped and counted rather than merged."
LIHC_GSE140228_10X,Mast,Mast,CL:0000097,416,map,
LIHC_GSE140228_10X,Mono/Macro,Mono_Macro,CL:0000576,7776,map,
LIHC_GSE140228_10X,NK,NK,CL:0000623,6781,map,
LIHC_GSE140228_10X,Plasma,Plasma,CL:0000786,1076,map,
LIHC_GSE140228_10X,Tprolif,,,1020,drop,proliferating compartment spans multiple identities
LIHC_GSE140228_10X,Treg,Treg,CL:0000815,2598,map,
LIHC_GSE98638,CD4Tconv,CD4_T,CL:0000624,2466,map,
LIHC_GSE98638,CD8T,CD8_T,CL:0000625,1230,map,
LIHC_GSE98638,CD8Tex,CD8_T,CL:0000625,412,map,
LIHC_GSE98638,Others,,,124,drop,unspecified by the original authors
LIHC_GSE98638,Tprolif,,,134,drop,proliferating compartment spans multiple identities
LIHC_GSE98638,Treg,Treg,CL:0000815,693,map,
NSCLC_GSE127465,B,B,CL:0000236,3320,map,
NSCLC_GSE127465,CD4Tconv,CD4_T,CL:0000624,6757,map,
NSCLC_GSE127465,CD8Tex,CD8_T,CL:0000625,1236,map,
NSCLC_GSE127465,DC,DC,CL:0000451,1128,map,
NSCLC_GSE127465,Endothelial,Endothelial,CL:0000115,417,map,
NSCLC_GSE127465,Fibroblasts,Fibroblast,CL:0000057,712,map,
NSCLC_GSE127465,Malignant,Malignant,CL:0001064,3995,map,
NSCLC_GSE127465,Mast,Mast,CL:0000097,616,map,
NSCLC_GSE127465,Mono/Macro,Mono_Macro,CL:0000576,7032,map,
NSCLC_GSE127465,NK,NK,CL:0000623,1481,map,
