scheme,budget,contrast,stratum,n_class_instances,delta_mean,ci95_lo,ci95_hi,p_raw,p_fdr
S1_within_dataset,10,geneformer - hvg_pca,1-5% (rare),20,-0.012513388254235164,-0.05070208611077547,0.02449494983506299,0.7285060882568359,0.8006468380198759
S1_within_dataset,10,geneformer - hvg_pca,5-20% (uncommon),60,0.011543362127223615,-0.017467453378526617,0.038230897124830625,0.011813454012901615,0.026580271529028636
S1_within_dataset,10,geneformer - hvg_pca,>20% (common),17,-0.01492745684781402,-0.05647125675214037,0.01871048075131215,0.8536376953125,0.8536376953125
S1_within_dataset,10,scgpt - hvg_pca,1-5% (rare),20,-0.00927370836461667,-0.038746102813266944,0.021803890030058726,0.5958194732666016,0.7149833679199219
S1_within_dataset,10,scgpt - hvg_pca,5-20% (uncommon),60,0.0028121395559568218,-0.019815040976854232,0.025700436600079,0.10220093875898684,0.15330140813848026
S1_within_dataset,10,scgpt - hvg_pca,>20% (common),17,-0.006720544892414369,-0.048223322298718736,0.03456129279320113,0.7819061279296875,0.8042463030133928
S1_within_dataset,all,geneformer - hvg_pca,1-5% (rare),20,0.03483791103899791,0.00986829300487601,0.06171488449999079,0.03623390197753906,0.07673061595243566
S1_within_dataset,all,geneformer - hvg_pca,5-20% (uncommon),60,0.0573888451505984,0.04115152599862121,0.07453883342438362,5.191863680927711e-10,9.34535462566988e-09
S1_within_dataset,all,geneformer - hvg_pca,>20% (common),17,0.03722903786610965,0.02065530858681523,0.05748343613162475,0.000213623046875,0.0010986328125
S1_within_dataset,all,scgpt - hvg_pca,1-5% (rare),20,0.05901781250671392,0.02979442388632168,0.09247953294287714,0.0010166168212890625,0.003659820556640625
S1_within_dataset,all,scgpt - hvg_pca,5-20% (uncommon),60,0.06114909544547223,0.045060676271400264,0.07862250051204403,1.3332716768418377e-10,4.799778036630616e-09
S1_within_dataset,all,scgpt - hvg_pca,>20% (common),17,0.029737073353499902,0.015479448429233695,0.04854069961881888,0.000152587890625,0.00091552734375
S2_leave_donor_out,10,geneformer - hvg_pca,1-5% (rare),20,-0.0070966806777785826,-0.049728548033450476,0.044077486875473644,0.34881019592285156,0.4330057604559536
S2_leave_donor_out,10,geneformer - hvg_pca,5-20% (uncommon),58,0.010985346967208468,-0.015165269673419041,0.038275193056138766,0.2027994523572637,0.27039926980968493
S2_leave_donor_out,10,geneformer - hvg_pca,>20% (common),16,-0.05951449557993522,-0.11491201983270383,-0.0038409346458508293,0.0506591796875,0.0911865234375
S2_leave_donor_out,10,scgpt - hvg_pca,1-5% (rare),20,-0.022126109553580242,-0.07797893067601537,0.022319540858484706,0.7561664581298828,0.8006468380198759
S2_leave_donor_out,10,scgpt - hvg_pca,5-20% (uncommon),58,-0.0015211621040404698,-0.03218541713704161,0.024244427513309307,0.045349628516978144,0.08592561192690595
S2_leave_donor_out,10,scgpt - hvg_pca,>20% (common),16,-0.047663760599137406,-0.09109829413354072,-0.00021446434125829708,0.05767822265625,0.098876953125
