dataset,cancer,accession_group,source,cells,donors,n_mappable_immune_classes,mappable_immune_cells,mappable_classes,ldo_group
BRCA_GSE161529,BRCA,GSE161529,TISCH2_local,332168,53,6,56290,"Mono/Macro,CD4Tconv,NK,Plasma,B,CD8T",GSE161529
BRCA_GSE176078,BRCA,GSE176078,TISCH2_local,89471,26,6,43623,"CD4Tconv,CD8Tex,Mono/Macro,B,Plasma,DC",GSE176078
CHOL_GSE125449_aPD1aPDL1aCTLA4,CHOL,GSE125449,TISCH2_fetch,5762,10,6,2969,"CD4Tconv,CD8T,CD8Tex,Mono/Macro,B,Plasma",GSE125449
CRC_GSE146771_10X,CRC,GSE146771,TISCH2_fetch,43817,10,8,43487,"Mono/Macro,CD4Tconv,CD8T,Plasma,B,CD8Tex,NK,Mast",GSE146771
CRC_GSE108989,CRC,GSE108989,TISCH2_fetch,11125,12,4,10921,"CD4Tconv,CD8T,Treg,CD8Tex",GSE108989
HNSC_GSE103322,HNSC,GSE103322,TISCH2_fetch,5902,21,6,1673,"CD8Tex,CD4Tconv,CD8T,Plasma,Mast,Mono/Macro",GSE103322
LIHC_GSE140228_10X,LIHC,GSE140228,TISCH2_fetch,61690,5,10,60468,"CD8T,CD4Tconv,Mono/Macro,NK,CD8Tex,B,Treg,DC,Plasma,Mast",GSE140228
LIHC_GSE98638,LIHC,GSE98638,TISCH2_fetch,5059,6,4,4801,"CD4Tconv,CD8T,Treg,CD8Tex",GSE98638
NSCLC_GSE127465,NSCLC,GSE127465,TISCH2_local,31179,7,9,26055,"Mono/Macro,CD4Tconv,Neutrophils,B,NK,CD8Tex,Plasma,DC,Mast",GSE127465
NSCLC_GSE131907,NSCLC,GSE131907,TISCH2_fetch,203298,44,8,160043,"CD4Tconv,CD8T,Mono/Macro,B,DC,CD8Tex,Plasma,Mast",GSE131907
PAAD_GSE111672,PAAD,GSE111672,TISCH2_fetch,6122,3,4,544,"Mono/Macro,Mast,CD8T,Neutrophils",GSE111672
PAAD_GSE154778,PAAD,GSE154778,TISCH2_fetch,14953,16,3,2147,"Mono/Macro,CD8T,Plasma",GSE154778
STAD_GSE134520,STAD,GSE134520,TISCH2_fetch,41554,13,4,4161,"Plasma,CD8T,Mast,DC",GSE134520
