dataset,cancer,accession_group,source,cells,donors,n_mappable_immune_classes,mappable_immune_cells,C1_donors_ge3,C2_classes_ge3,C3_immune_ge500,eligible,dropped_as_dup
BRCA_GSE148673,BRCA,GSE148673,TISCH2_local,10359,6,4,3083,True,True,True,True,False
BRCA_GSE150660,BRCA,GSE150660,TISCH2_local,10605,3,6,8762,True,True,True,True,False
BRCA_GSE161529,BRCA,GSE161529,TISCH2_local,332168,53,6,56290,True,True,True,True,False
BRCA_GSE176078,BRCA,GSE176078,TISCH2_local,89471,26,6,43623,True,True,True,True,False
LIHC_GSE125449_aPDL1aCTLA4,LIHC,GSE125449,TISCH2_local,3835,9,4,1547,True,True,True,True,True
LIHC_GSE146115,LIHC,GSE146115,TISCH2_local,3134,4,3,693,True,True,True,True,False
NSCLC_GSE117570,NSCLC,GSE117570,TISCH2_local,11453,4,7,8012,True,True,True,True,False
NSCLC_GSE127465,NSCLC,GSE127465,TISCH2_local,31179,7,9,26055,True,True,True,True,False
NSCLC_GSE143423,NSCLC,GSE143423,TISCH2_local,12193,3,3,2236,True,True,True,True,False
NSCLC_GSE148071,NSCLC,GSE148071,TISCH2_local,82267,42,3,19443,True,True,True,True,False
BRCA_GSE143423,BRCA,GSE143423,TISCH2_local,4375,1,1,241,False,False,False,False,False
LIHC_GSE146409,LIHC,GSE146409,TISCH2_local,2916,12,1,1005,True,False,True,False,False
LIHC_GSE166635,LIHC,GSE166635,TISCH2_local,22631,2,6,14565,False,True,True,False,False
NSCLC_GSE150660,NSCLC,GSE150660,TISCH2_local,5407,2,5,5085,False,True,True,False,False
BRCA_GSE114727_10X,BRCA,GSE114727,TISCH2_fetch,28678,3,4,28364,True,True,True,True,False
CHOL_GSE125449_aPD1aPDL1aCTLA4,CHOL,GSE125449,TISCH2_fetch,5762,10,6,2969,True,True,True,True,False
CRC_GSE108989,CRC,GSE108989,TISCH2_fetch,11125,12,4,10921,True,True,True,True,False
CRC_GSE146771_10X,CRC,GSE146771,TISCH2_fetch,43817,10,8,43487,True,True,True,True,False
HNSC_GSE103322,HNSC,GSE103322,TISCH2_fetch,5902,21,6,1673,True,True,True,True,False
KIRC_GSE111360,KIRC,GSE111360,TISCH2_fetch,23130,2,10,20691,False,True,True,False,False
LIHC_GSE140228_10X,LIHC,GSE140228,TISCH2_fetch,61690,5,10,60468,True,True,True,True,False
LIHC_GSE140228_Smartseq2,LIHC,GSE140228,TISCH2_fetch,7074,6,8,6878,True,True,True,True,True
LIHC_GSE98638,LIHC,GSE98638,TISCH2_fetch,5059,6,4,4801,True,True,True,True,False
NSCLC_GSE131907,NSCLC,GSE131907,TISCH2_fetch,203298,44,8,160043,True,True,True,True,False
NSCLC_GSE99254,NSCLC,GSE99254,TISCH2_fetch,12344,14,5,12163,True,True,True,True,False
PAAD_GSE111672,PAAD,GSE111672,TISCH2_fetch,6122,3,4,544,True,True,True,True,False
PAAD_GSE154778,PAAD,GSE154778,TISCH2_fetch,14953,16,3,2147,True,True,True,True,False
STAD_GSE134520,STAD,GSE134520,TISCH2_fetch,41554,13,4,4161,True,True,True,True,False
