,BRCA_GSE161529,BRCA_GSE176078,CHOL_GSE125449_aPD1aPDL1aCTLA4,CRC_GSE108989,CRC_GSE146771_10X,HNSC_GSE103322,LIHC_GSE140228_10X,LIHC_GSE98638,NSCLC_GSE127465,NSCLC_GSE131907,PAAD_GSE111672,PAAD_GSE154778,STAD_GSE134520
BRCA_GSE161529,1.0,0.7394731468245865,0.6201347763937104,0.6809066775576884,0.5260771901163978,0.6790279763120278,0.6303451092505615,0.639166836838881,0.939023892178885,0.7362058403103942,0.575168470492138,0.7866040432918113,0.699652848682867
BRCA_GSE176078,0.7386586161879896,1.0,0.7062255221932114,0.6752610966057441,0.5378182114882507,0.6638789164490861,0.7513462793733682,0.6287124673629243,0.748980091383812,0.939621409921671,0.5626631853785901,0.6730988903394256,0.6211651436031331
CHOL_GSE125449_aPD1aPDL1aCTLA4,0.8689481515394301,0.9906718553279158,1.0,0.8205905917362939,0.7337186677349204,0.8190454389378505,0.9061462744649194,0.7905459539887834,0.8815382854526725,0.9951356300789744,0.7667391553164702,0.8505780016023807,0.8200755408034794
CRC_GSE108989,0.8686047723246848,0.8623528185891425,0.7470563717828488,1.0,0.6516098780869022,0.8937688861102427,0.7747733666770866,0.8865270396999062,0.9207564864020006,0.8650619985412108,0.7000625195373554,0.8222882150672085,0.7681567156403043
CRC_GSE146771_10X,0.9549262361924531,0.9773148491363333,0.9504781673956557,0.9271999406924161,1.0,0.9234190822151382,0.9516643190748016,0.910667951664319,0.9627103565868486,0.9793164800948921,0.8769367632886055,0.9360960782860108,0.9223811994958855
HNSC_GSE103322,0.9114631873252563,0.8921111781152349,0.7846061071213201,0.9404637903623705,0.6828572994901595,1.0,0.8012718600953895,0.887177238090017,0.9358039581163313,0.8920015350035634,0.7495203113864372,0.8722657749026917,0.818595471739488
LIHC_GSE140228_10X,0.6978973547366041,0.8327831788378929,0.7159846258195794,0.6724395206873163,0.5804657472303866,0.6609088853719195,1.0,0.6511417589871128,0.7184716255934885,0.8353153967895094,0.5870223829979652,0.6679629210942799,0.6401537418042053
LIHC_GSE98638,0.9071937858674859,0.8933395165497652,0.8007651730334473,0.9863776012984754,0.7120746623384152,0.9380905454756246,0.8347342183061851,1.0,0.9281780766332387,0.892991710625471,0.7596661063126775,0.8735725465190424,0.8282998087067417
NSCLC_GSE127465,0.7230870836871403,0.5773815139793063,0.48444821838538227,0.5558071516180771,0.40840330848822215,0.5368430984055099,0.4997012296757556,0.5035695191370255,1.0,0.5799289241123377,0.4444129949366292,0.6084536277007265,0.5381954272415637
NSCLC_GSE131907,0.7419939079608133,0.9480530172058944,0.7157734420021404,0.6834609368568371,0.5437556598337038,0.6697538486869186,0.7603935128015148,0.6341071869597431,0.7590351527126039,1.0,0.5693175269613896,0.6823083889026097,0.6283856096155429
PAAD_GSE111672,0.9893220934316824,0.9688795223041798,0.9412012644889357,0.943940990516333,0.8309799789251844,0.9604495960660344,0.9119775201966983,0.9206181945907973,0.9926940639269406,0.9716192483315771,1.0,0.971689497716895,0.9471022128556376
PAAD_GSE154778,0.9637227920940705,0.825569176882662,0.7437077808356267,0.7897423067300475,0.6318238679009257,0.7961471103327495,0.7391543657743308,0.7540655491618714,0.9680760570427821,0.8294220665499125,0.6921190893169877,1.0,0.8583437578183638
STAD_GSE134520,0.9757917521075415,0.8672818409660515,0.8162451583504216,0.8398268398268398,0.7087035771246297,0.8505354294827979,0.806390977443609,0.8139097744360902,0.9747664616085668,0.8695602642971064,0.7679425837320574,0.9771018455228981,1.0
