representation,split_file,scheme,holdout_group,budget,seed,n_train_used,C_selected,inner_cv_folds_used,cv_selection_cells,n_dims_selected,seconds,n_test,n_classes_test,n_classes_learnable,n_classes_test_only,classes_learnable,macro_f1,balanced_acc,macro_f1_all_test_classes,accuracy,per_class_f1_json
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.03,45963,14,14,0,B;CD4_T;CD8_T;DC;Endothelial;Epithelial;Fibroblast;Malignant;Mast;Mono_Macro;NK;Neutrophil;Plasma;Treg,0.7347688180641796,0.7828401994628893,0.7347688180641796,0.7174901551247743,"{""B"": 0.8486897717666948, ""CD4_T"": 0.7035960214231064, ""CD8_T"": 0.5459940652818991, ""DC"": 0.41175435509414043, ""Endothelial"": 0.9171428571428571, ""Epithelial"": 0.6938141125271993, ""Fibroblast"": 0.9215379806189434, ""Malignant"": 0.8123314065510597, ""Mast"": 0.8468734613490891, ""Mono_Macro"": 0.646247125235208, ""NK"": 0.658671235484485, ""Neutrophil"": 0.9612289685442575, ""Plasma"": 0.9303106633081444, ""Treg"": 0.38857142857142857}"
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.41,45963,14,14,0,B;CD4_T;CD8_T;DC;Endothelial;Epithelial;Fibroblast;Malignant;Mast;Mono_Macro;NK;Neutrophil;Plasma;Treg,0.7637611981461622,0.8046235957451311,0.7637611981461622,0.7600678806866392,"{""B"": 0.8471403812824957, ""CD4_T"": 0.7019983895761658, ""CD8_T"": 0.6056921801602653, ""DC"": 0.5426474310301189, ""Endothelial"": 0.9267436026091319, ""Epithelial"": 0.6243515410436374, ""Fibroblast"": 0.8791549295774648, ""Malignant"": 0.7776138279932546, ""Mast"": 0.851085310449268, ""Mono_Macro"": 0.8562621102695085, ""NK"": 0.6399414241259381, ""Neutrophil"": 0.9635036496350365, ""Plasma"": 0.9282336578581363, ""Treg"": 0.5482883384358475}"
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,all,0,137881,0.1,5,19999,768,430.3,45963,14,14,0,B;CD4_T;CD8_T;DC;Endothelial;Epithelial;Fibroblast;Malignant;Mast;Mono_Macro;NK;Neutrophil;Plasma;Treg,0.9064041713636873,0.9263870359650939,0.9064041713636873,0.9005721993777603,"{""B"": 0.9175720358998583, ""CD4_T"": 0.8495049504950495, ""CD8_T"": 0.8138345376309166, ""DC"": 0.7636171337916446, ""Endothelial"": 0.985429820301117, ""Epithelial"": 0.9175991861648016, ""Fibroblast"": 0.9876657415972865, ""Malignant"": 0.9660538858087735, ""Mast"": 0.9106976744186046, ""Mono_Macro"": 0.9219783126157102, ""NK"": 0.8462816784378895, ""Neutrophil"": 0.9676025917926566, ""Plasma"": 0.9651209407991447, ""Treg"": 0.8766999093381687}"
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,all,1,137881,0.1,5,19999,768,403.21,45963,14,14,0,B;CD4_T;CD8_T;DC;Endothelial;Epithelial;Fibroblast;Malignant;Mast;Mono_Macro;NK;Neutrophil;Plasma;Treg,0.9064041713636873,0.9263870359650939,0.9064041713636873,0.9005721993777603,"{""B"": 0.9175720358998583, ""CD4_T"": 0.8495049504950495, ""CD8_T"": 0.8138345376309166, ""DC"": 0.7636171337916446, ""Endothelial"": 0.985429820301117, ""Epithelial"": 0.9175991861648016, ""Fibroblast"": 0.9876657415972865, ""Malignant"": 0.9660538858087735, ""Mast"": 0.9106976744186046, ""Mono_Macro"": 0.9219783126157102, ""NK"": 0.8462816784378895, ""Neutrophil"": 0.9676025917926566, ""Plasma"": 0.9651209407991447, ""Treg"": 0.8766999093381687}"
scgpt,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,10.0,5,140,512,2.24,45963,14,14,0,B;CD4_T;CD8_T;DC;Endothelial;Epithelial;Fibroblast;Malignant;Mast;Mono_Macro;NK;Neutrophil;Plasma;Treg,0.6857545406699954,0.7352415207135986,0.6857545406699954,0.6783064638948719,"{""B"": 0.8413284132841329, ""CD4_T"": 0.6813204128259671, ""CD8_T"": 0.5378774805867127, ""DC"": 0.3646810955755602, ""Endothelial"": 0.9076112972714218, ""Epithelial"": 0.4719526627218935, ""Fibroblast"": 0.8888520788471095, ""Malignant"": 0.7224901359053046, ""Mast"": 0.7974797479747975, ""Mono_Macro"": 0.6538576406172225, ""NK"": 0.5367316341829086, ""Neutrophil"": 0.8922033898305085, ""Plasma"": 0.9289403881055424, ""Treg"": 0.3752371916508539}"
scgpt,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,512,2.57,45963,14,14,0,B;CD4_T;CD8_T;DC;Endothelial;Epithelial;Fibroblast;Malignant;Mast;Mono_Macro;NK;Neutrophil;Plasma;Treg,0.7149496066967097,0.7599047962931138,0.7149496066967097,0.7113112721101755,"{""B"": 0.8204776596960347, ""CD4_T"": 0.580576829069578, ""CD8_T"": 0.603556992724333, ""DC"": 0.5170246202200105, ""Endothelial"": 0.8746238716148446, ""Epithelial"": 0.5359305080284286, ""Fibroblast"": 0.9232650565576276, ""Malignant"": 0.6724292770543332, ""Mast"": 0.7237762237762237, ""Mono_Macro"": 0.8477019070217067, ""NK"": 0.6614997905320485, ""Neutrophil"": 0.9427753934191703, ""Plasma"": 0.9250841750841751, ""Treg"": 0.3805721889554225}"
scgpt,S1_within_dataset__seed0.parquet,S1_within_dataset,,all,0,137881,0.1,5,19999,512,360.82,45963,14,14,0,B;CD4_T;CD8_T;DC;Endothelial;Epithelial;Fibroblast;Malignant;Mast;Mono_Macro;NK;Neutrophil;Plasma;Treg,0.9057227050269993,0.9276018937749758,0.9057227050269993,0.9015077344820834,"{""B"": 0.9227863046044864, ""CD4_T"": 0.8483371559633027, ""CD8_T"": 0.817416406062064, ""DC"": 0.7805405405405406, ""Endothelial"": 0.9782293178519593, ""Epithelial"": 0.9123041013671224, ""Fibroblast"": 0.9863903495205691, ""Malignant"": 0.9614179396788093, ""Mast"": 0.9168580615525953, ""Mono_Macro"": 0.9294395383404739, ""NK"": 0.8444724674232871, ""Neutrophil"": 0.9618979151689432, ""Plasma"": 0.9672940862368176, ""Treg"": 0.8527336860670194}"
scgpt,S1_within_dataset__seed0.parquet,S1_within_dataset,,all,1,137881,1.0,5,19999,512,382.47,45963,14,14,0,B;CD4_T;CD8_T;DC;Endothelial;Epithelial;Fibroblast;Malignant;Mast;Mono_Macro;NK;Neutrophil;Plasma;Treg,0.9084736028553156,0.9289894074520924,0.9084736028553156,0.9040097469703893,"{""B"": 0.9226785924443921, ""CD4_T"": 0.8516609392898052, ""CD8_T"": 0.8242268867168723, ""DC"": 0.781901923597941, ""Endothelial"": 0.9813152147537005, ""Epithelial"": 0.9163879598662207, ""Fibroblast"": 0.9873261205564142, ""Malignant"": 0.9640865055289167, ""Mast"": 0.9148351648351648, ""Mono_Macro"": 0.9284840006994229, ""NK"": 0.8467030659386813, ""Neutrophil"": 0.9659666908037654, ""Plasma"": 0.9683620344413296, ""Treg"": 0.8646953405017921}"
hvg_pca,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,10.0,5,140,30,2.5,45963,14,14,0,B;CD4_T;CD8_T;DC;Endothelial;Epithelial;Fibroblast;Malignant;Mast;Mono_Macro;NK;Neutrophil;Plasma;Treg,0.700816609288152,0.7480849648109065,0.700816609288152,0.6791114592171964,"{""B"": 0.8261739437448511, ""CD4_T"": 0.6958966565349544, ""CD8_T"": 0.5238219667276369, ""DC"": 0.3488217723199469, ""Endothelial"": 0.9025566811384467, ""Epithelial"": 0.5027985074626866, ""Fibroblast"": 0.912286411716843, ""Malignant"": 0.7560025957170668, ""Mast"": 0.8223255813953488, ""Mono_Macro"": 0.5404161873888947, ""NK"": 0.5784942297124015, ""Neutrophil"": 0.9690265486725663, ""Plasma"": 0.9221218961625283, ""Treg"": 0.5106895513399579}"
hvg_pca,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,50,2.51,45963,14,14,0,B;CD4_T;CD8_T;DC;Endothelial;Epithelial;Fibroblast;Malignant;Mast;Mono_Macro;NK;Neutrophil;Plasma;Treg,0.7351786834325821,0.782789971141133,0.7351786834325821,0.7217544546700607,"{""B"": 0.7867790019442644, ""CD4_T"": 0.5898356004339481, ""CD8_T"": 0.6105114969497888, ""DC"": 0.49500135098621995, ""Endothelial"": 0.9227871939736346, ""Epithelial"": 0.6132792701469842, ""Fibroblast"": 0.9401188480877647, ""Malignant"": 0.6654005934718101, ""Mast"": 0.8129930394431555, ""Mono_Macro"": 0.8203313772868485, ""NK"": 0.6337061016284089, ""Neutrophil"": 0.9612856099342586, ""Plasma"": 0.8680582906656163, ""Treg"": 0.5724137931034483}"
