representation,scheme,budget,nominal,variant,score,coverage,coverage_gap,mean_set_size,empty_rate,singleton_rate,n_datasets
geneformer,S1_within_dataset,10,0.8,marginal,aps,0.8164052965901865,-0.01640529659018642,3.8689883146124564,0.12609951989121831,0.14790713021899093,13
geneformer,S1_within_dataset,10,0.8,marginal,inverse_softmax,0.7877858556028278,0.012214144397172284,1.232251652336983,0.0061342100864727606,0.776212550485231,13
geneformer,S1_within_dataset,10,0.8,mondrian,aps,0.801198560723937,-0.0011985607239369752,4.6164187256769775,0.051953733826287686,0.10253080743152553,13
geneformer,S1_within_dataset,10,0.8,mondrian,inverse_softmax,0.7895061801619978,0.010493819838002195,1.256185770445093,0.0393418663778861,0.681944220826073,13
geneformer,S1_within_dataset,10,0.9,marginal,aps,0.9111339072754383,-0.011133907275438244,5.887948051969359,0.05822740505961333,0.0762427909227304,13
geneformer,S1_within_dataset,10,0.9,marginal,inverse_softmax,0.8900667227035979,0.009933277296402164,1.9557773870141195,3.014201590661473e-05,0.42326941160975023,13
geneformer,S1_within_dataset,10,0.9,mondrian,aps,0.9005967870311561,-0.0005967870311560546,6.061667822295738,0.0212312574817893,0.0639578796099063,13
geneformer,S1_within_dataset,10,0.9,mondrian,inverse_softmax,0.8936442883610798,0.006355711638920246,1.8800871124078713,0.0021826804082069034,0.4119547334946597,13
geneformer,S1_within_dataset,10,0.95,marginal,aps,0.9637915979069113,-0.013791597906911292,8.524220153355335,0.02128724298710722,0.029963385822414666,13
geneformer,S1_within_dataset,10,0.95,marginal,inverse_softmax,0.9414640729266259,0.008535927073373969,3.208491561544979,0.0,0.21203337047680615,13
geneformer,S1_within_dataset,10,0.95,mondrian,aps,0.9511500478995417,-0.0011500478995417848,7.310886953906368,0.00895809924211834,0.03738015438431252,13
geneformer,S1_within_dataset,10,0.95,mondrian,inverse_softmax,0.94593597326798,0.004064026732019922,2.980371073359239,4.872849992703302e-05,0.18177559319508063,13
geneformer,S1_within_dataset,100,0.8,marginal,aps,0.8249859932381505,-0.024985993238150404,3.275641538615403,0.1468076264452266,0.16000301075313253,13
geneformer,S1_within_dataset,100,0.8,marginal,inverse_softmax,0.7852841739556032,0.014715826044396878,0.9374113356633571,0.06618379464082902,0.930221075054985,13
geneformer,S1_within_dataset,100,0.8,mondrian,aps,0.8025470333734295,-0.0025470333734293627,3.8336373764983076,0.08421620387334136,0.1451372701221545,13
geneformer,S1_within_dataset,100,0.8,mondrian,inverse_softmax,0.7845620612456776,0.015437938754322447,0.9692989835767286,0.0965535086125806,0.8375939991981103,13
geneformer,S1_within_dataset,100,0.9,marginal,aps,0.9177286771162299,-0.017728677116229823,5.128764796615902,0.07036899316561153,0.08215268126445308,13
geneformer,S1_within_dataset,100,0.9,marginal,inverse_softmax,0.8931488245412892,0.0068511754587107804,1.2446167231551615,0.000562797113923562,0.7654873787263513,13
geneformer,S1_within_dataset,100,0.9,mondrian,aps,0.8994546980835554,0.0005453019164445787,4.922740298806456,0.042054509800945085,0.10413855528293145,13
geneformer,S1_within_dataset,100,0.9,mondrian,inverse_softmax,0.8949500178307385,0.0050499821692615975,1.2684971608913023,0.012728551273986964,0.7185399428674111,13
geneformer,S1_within_dataset,100,0.95,marginal,aps,0.9602023454333033,-0.010202345433303357,6.728437778740992,0.034230305744850024,0.04329270613469363,13
geneformer,S1_within_dataset,100,0.95,marginal,inverse_softmax,0.9475695933679594,0.0024304066320405622,1.657017364532646,0.0,0.5048524976985601,13
