dataset,geneformer,scgpt,hvg_pca,scvi,harmony
BRCA_GSE161529,0.14816458333333335,0.15813333333333335,0.18524791666666668,0.15922000000000006,0.1121466666666667
BRCA_GSE176078,-0.017789471052894683,-0.06214961837149617,-0.061468436489684336,-0.05552444755524445,-0.04915841749158414
CHOL_GSE125449_aPD1aPDL1aCTLA4,0.025098647125140962,-0.06290868094701241,-0.016741826381059727,-0.025794813979706864,-0.057632468996617794
CRC_GSE108989,-0.0778938693680451,-0.0781041113451149,-0.06954834722095045,-0.06903213991392723,-0.07684277996520461
CRC_GSE146771_10X,-0.021532314512365806,-0.06226709886007599,-0.058138207452836474,-0.074245050329978,-0.07338177454836343
HNSC_GSE103322,0.5182958245375505,0.0788614977280046,-0.03460410032559304,-0.041621346023113515,-0.04279401767505099
LIHC_GSE140228_10X,0.05742391920269325,0.10355988133728877,0.05978842371920936,0.03151894936835441,-0.0016132795573480685
LIHC_GSE98638,-0.058224848989793763,-0.028335242657779605,-0.07047490106227869,-0.06994376171630907,-0.06679858362841075
NSCLC_GSE127465,-0.021141666666666642,0.01416250000000003,-0.006864583333333313,-0.009636666666666637,0.04374333333333337
NSCLC_GSE131907,0.19724212631228133,0.22303991001499754,0.22699966672221297,0.2188835194134311,0.16543576070654892
PAAD_GSE111672,-0.007336437784162868,-0.021241801647605967,0.003013654823684604,-0.025249092551855735,0.011162810557536318
PAAD_GSE154778,-0.039059051695311965,0.08978633050224036,0.027503678191667234,-0.003885507924831111,-0.026182037049421503
STAD_GSE134520,0.06262628195316089,0.08989170365834995,0.07811495484463496,0.041328639216286565,0.09643349150466865
