scheme,representation,empirical_coverage,mean_set_size,empty_rate,singleton_rate
S1_within_dataset,geneformer,0.9061656433794217,0.9790897031627814,0.020910296837218616,0.9790897031627814
S1_within_dataset,harmony,0.9045305653911284,1.4522492589221612,6.128964369315348e-05,0.5817734884254343
S1_within_dataset,hvg_pca,0.9030899273763013,1.0740753920549757,0.002004503303347272,0.9219156013383298
S1_within_dataset,scgpt,0.9033213685739743,0.9755570107063729,0.024442989293627124,0.9755570107063729
S1_within_dataset,scvi,0.9044270928001212,1.1912057773030986,0.00021920388503180257,0.8104471822525496
S2_leave_donor_out,geneformer,0.9007680242021353,1.0630115258858226,0.001640681106640998,0.9337115506243185
S2_leave_donor_out,harmony,0.8842633819164276,1.4810845069545815,6.018911019933351e-05,0.5553642507392328
S2_leave_donor_out,hvg_pca,0.8931499516712472,1.1739325471413928,0.00016374914289606006,0.8277971928454984
S2_leave_donor_out,scgpt,0.8977992865025158,1.1024622835418394,0.0008844942990438818,0.8972729220190606
S2_leave_donor_out,scvi,0.9003805875590276,1.27704819227131,2.2117887370264378e-05,0.7327483929140481
S3_leave_dataset_out,geneformer,0.8410866367388524,2.7028114177345612,0.0,0.29498648586904025
S3_leave_dataset_out,harmony,0.8973447150879422,2.1061275657259744,8.744354906403742e-05,0.3331687205901661
S3_leave_dataset_out,hvg_pca,0.8797824697921277,1.9479359675326415,3.3683374707319273e-06,0.4673485906393994
S3_leave_dataset_out,scgpt,0.865967030558067,2.3728237750497265,0.0,0.34119049947495955
S3_leave_dataset_out,scvi,0.8941524398971971,2.033751186399148,7.19229682916301e-06,0.43665254796971226
