metric,rep_a,rep_b,n_datasets,mean_diff,median_diff,ci_lo,ci_hi,dz,wilcoxon_p,p_floor_exact,at_floor,n_favouring_a,n_favouring_b,insufficient,scheme,alpha,variant,score,budget,q_bh
coverage_gap,geneformer,hvg_pca,13,-0.0030757160031203764,-0.004670458347273344,-0.013977495943939358,0.007699161136340851,-0.14740828364557595,0.635498046875,0.000244140625,False,5,8,False,S1_within_dataset,0.1,marginal,inverse_softmax,all,0.7470703125
mean_set_size,geneformer,hvg_pca,13,-0.0949856888921943,-0.09677655677655661,-0.11159812143079431,-0.07856490196121427,-2.988913126038554,0.000244140625,0.000244140625,True,0,13,False,S1_within_dataset,0.1,marginal,inverse_softmax,all,0.000732421875
coverage_gap,scgpt,hvg_pca,13,-0.00023144119767297785,-0.004554678692220961,-0.012686983776976822,0.013801842402099525,-0.008957146362069035,0.7353515625,0.000244140625,False,6,7,False,S1_within_dataset,0.1,marginal,inverse_softmax,all,0.7673233695652174
mean_set_size,scgpt,hvg_pca,13,-0.0985183813486028,-0.10510666666666668,-0.11599032717296348,-0.08185653848939145,-2.9998256851172176,0.000244140625,0.000244140625,True,0,13,False,S1_within_dataset,0.1,marginal,inverse_softmax,all,0.000732421875
coverage_gap,scvi,hvg_pca,13,-0.0013371654238199361,-0.005453333333333331,-0.010948432469423234,0.009471952372258409,-0.06920234072361633,0.635498046875,0.000244140625,False,5,8,False,S1_within_dataset,0.1,marginal,inverse_softmax,all,0.7470703125
mean_set_size,scvi,hvg_pca,13,0.11713038524812294,0.12268315018315046,0.10078843538631421,0.13336403365406485,3.750030724370541,0.000244140625,0.000244140625,True,13,0,False,S1_within_dataset,0.1,marginal,inverse_softmax,all,0.000732421875
coverage_gap,harmony,hvg_pca,13,-0.0014406380148270525,-0.010371728621436923,-0.018613210245838622,0.021040210471824666,-0.03783930089087294,0.375732421875,0.000244140625,False,4,9,False,S1_within_dataset,0.1,marginal,inverse_softmax,all,0.5635986328125
mean_set_size,harmony,hvg_pca,13,0.3781738668671855,0.38644999999999974,0.33615602326979965,0.4205188424865673,4.665958413767696,0.000244140625,0.000244140625,True,13,0,False,S1_within_dataset,0.1,marginal,inverse_softmax,all,0.000732421875
coverage_gap,geneformer,hvg_pca,13,-0.007618072530888135,-0.013266730647491594,-0.022051405161760716,0.006853931811911289,-0.2702550801340601,0.305419921875,0.000244140625,False,5,8,False,S2_leave_donor_out,0.1,marginal,inverse_softmax,all,0.488671875
mean_set_size,geneformer,hvg_pca,13,-0.11092102125557037,-0.10857414981678915,-0.13205541855958955,-0.09123701306754012,-2.8364948715176648,0.000244140625,0.000244140625,True,0,13,False,S2_leave_donor_out,0.1,marginal,inverse_softmax,all,0.000732421875
coverage_gap,scgpt,hvg_pca,13,-0.004649334831268771,-0.015090587976464332,-0.024904233513486678,0.01766822597712317,-0.1133556277313133,0.454833984375,0.000244140625,False,4,9,False,S2_leave_donor_out,0.1,marginal,inverse_softmax,all,0.6421185661764706
mean_set_size,scgpt,hvg_pca,13,-0.07147026359955364,-0.063742390429681,-0.09534546525437616,-0.05284945921930854,-1.735422591045013,0.000244140625,0.000244140625,True,0,13,False,S2_leave_donor_out,0.1,marginal,inverse_softmax,all,0.000732421875
coverage_gap,scvi,hvg_pca,13,-0.007230635887780547,-0.0035671215107603363,-0.026853163449390878,0.011404801939976745,-0.19813659578959758,0.684814453125,0.000244140625,False,6,7,False,S2_leave_donor_out,0.1,marginal,inverse_softmax,all,0.7470703125
mean_set_size,scvi,hvg_pca,13,0.10311564512991718,0.1041232119575195,0.07645618002344129,0.13086486732198668,1.9555425661861026,0.00048828125,0.000244140625,False,12,1,False,S2_leave_donor_out,0.1,marginal,inverse_softmax,all,0.001171875
coverage_gap,harmony,hvg_pca,13,0.00888656975481946,-0.0007113330710796411,-0.021808794084406818,0.040534521384277995,0.14968761392280117,0.684814453125,0.000244140625,False,6,7,False,S2_leave_donor_out,0.1,marginal,inverse_softmax,all,0.7470703125
mean_set_size,harmony,hvg_pca,13,0.30715195981318855,0.2963789645969468,0.25401700089972434,0.3573343804876108,3.074187984604327,0.000244140625,0.000244140625,True,13,0,False,S2_leave_donor_out,0.1,marginal,inverse_softmax,all,0.000732421875
coverage_gap,geneformer,hvg_pca,13,0.03869583305327536,-0.00834552214709465,-0.017301542732816984,0.1322691049511142,0.2452665551634861,1.0,0.000244140625,False,5,8,False,S3_leave_dataset_out,0.1,marginal,inverse_softmax,all,1.0
mean_set_size,geneformer,hvg_pca,13,0.7548754502019202,0.7403312500000001,0.5817707871247744,0.9277699191201942,2.269971737159563,0.000244140625,0.000244140625,True,13,0,False,S3_leave_dataset_out,0.1,marginal,inverse_softmax,all,0.000732421875
coverage_gap,scgpt,hvg_pca,13,0.013815439234060754,-0.0006811818818118348,-0.006716509485485833,0.037721749751751806,0.3218836950770949,0.541748046875,0.000244140625,False,6,7,False,S3_leave_dataset_out,0.1,marginal,inverse_softmax,all,0.7223307291666666
mean_set_size,scgpt,hvg_pca,13,0.424887807517085,0.4778454531520704,0.2805022401953487,0.5656717909732064,1.5375576663620096,0.00048828125,0.000244140625,False,12,1,False,S3_leave_dataset_out,0.1,marginal,inverse_softmax,all,0.001171875
