representation,scheme,variant,stratum,coverage,n_class_instances
geneformer,S1_within_dataset,marginal,<1%,0.3655172413793103,1
geneformer,S1_within_dataset,marginal,1-5%,0.7983641914632081,20
geneformer,S1_within_dataset,marginal,5-20%,0.8788365676710707,60
geneformer,S1_within_dataset,marginal,>20%,0.9407339546867773,17
geneformer,S1_within_dataset,mondrian,<1%,0.2827586206896552,1
geneformer,S1_within_dataset,mondrian,1-5%,0.7856875704951072,20
geneformer,S1_within_dataset,mondrian,5-20%,0.8620451846251799,60
geneformer,S1_within_dataset,mondrian,>20%,0.9372172610011612,17
geneformer,S2_leave_donor_out,marginal,<1%,0.1613655462184874,1
geneformer,S2_leave_donor_out,marginal,1-5%,0.7952691001990296,20
geneformer,S2_leave_donor_out,marginal,5-20%,0.8620428973843544,60
geneformer,S2_leave_donor_out,marginal,>20%,0.931683172217089,17
geneformer,S2_leave_donor_out,mondrian,<1%,0.1524579831932773,1
geneformer,S2_leave_donor_out,mondrian,1-5%,0.7716842057663422,20
geneformer,S2_leave_donor_out,mondrian,5-20%,0.8504657488599414,60
geneformer,S2_leave_donor_out,mondrian,>20%,0.9189113187326894,17
geneformer,S3_leave_dataset_out,marginal,<1%,0.3146114864864865,1
geneformer,S3_leave_dataset_out,marginal,1-5%,0.745763095538795,20
geneformer,S3_leave_dataset_out,marginal,5-20%,0.7875751913738048,60
geneformer,S3_leave_dataset_out,marginal,>20%,0.904142784386712,17
geneformer,S3_leave_dataset_out,mondrian,<1%,0.32136824324324326,1
geneformer,S3_leave_dataset_out,mondrian,1-5%,0.7503094373280225,20
geneformer,S3_leave_dataset_out,mondrian,5-20%,0.7811542236671627,60
geneformer,S3_leave_dataset_out,mondrian,>20%,0.8309825916325594,17
harmony,S1_within_dataset,marginal,<1%,0.2827586206896552,1
harmony,S1_within_dataset,marginal,1-5%,0.8582845198482099,20
harmony,S1_within_dataset,marginal,5-20%,0.8497720179852861,60
harmony,S1_within_dataset,marginal,>20%,0.9535660469821634,17
harmony,S1_within_dataset,mondrian,<1%,0.2689655172413793,1
harmony,S1_within_dataset,mondrian,1-5%,0.8937155675482691,20
harmony,S1_within_dataset,mondrian,5-20%,0.8576231430550756,60
harmony,S1_within_dataset,mondrian,>20%,0.9327880132895687,17
harmony,S2_leave_donor_out,marginal,<1%,0.1210294117647059,1
harmony,S2_leave_donor_out,marginal,1-5%,0.8452300675453321,20
harmony,S2_leave_donor_out,marginal,5-20%,0.839501736453334,60
harmony,S2_leave_donor_out,marginal,>20%,0.9577101220027058,17
harmony,S2_leave_donor_out,mondrian,<1%,0.19531512605042017,1
harmony,S2_leave_donor_out,mondrian,1-5%,0.8736797349400959,20
harmony,S2_leave_donor_out,mondrian,5-20%,0.8409209924796255,60
harmony,S2_leave_donor_out,mondrian,>20%,0.9295693980720581,17
harmony,S3_leave_dataset_out,marginal,<1%,0.22837837837837838,1
harmony,S3_leave_dataset_out,marginal,1-5%,0.8907220922408824,20
harmony,S3_leave_dataset_out,marginal,5-20%,0.8232556771105716,60
harmony,S3_leave_dataset_out,marginal,>20%,0.9651675662871867,17
harmony,S3_leave_dataset_out,mondrian,<1%,0.44054054054054054,1
harmony,S3_leave_dataset_out,mondrian,1-5%,0.9089733754184207,20
harmony,S3_leave_dataset_out,mondrian,5-20%,0.8436747917030892,60
harmony,S3_leave_dataset_out,mondrian,>20%,0.9253946753937644,17
hvg_pca,S1_within_dataset,marginal,<1%,0.29379310344827586,1
hvg_pca,S1_within_dataset,marginal,1-5%,0.8055396469568745,20
hvg_pca,S1_within_dataset,marginal,5-20%,0.8624935828971502,60
hvg_pca,S1_within_dataset,marginal,>20%,0.943211578486088,17
hvg_pca,S1_within_dataset,mondrian,<1%,0.2689655172413793,1
hvg_pca,S1_within_dataset,mondrian,1-5%,0.8196161195764633,20
hvg_pca,S1_within_dataset,mondrian,5-20%,0.8531196103705033,60
hvg_pca,S1_within_dataset,mondrian,>20%,0.943107174327561,17
hvg_pca,S2_leave_donor_out,marginal,<1%,0.13565126050420168,1
hvg_pca,S2_leave_donor_out,marginal,1-5%,0.7781628331698752,20
hvg_pca,S2_leave_donor_out,marginal,5-20%,0.8479089219093932,60
hvg_pca,S2_leave_donor_out,marginal,>20%,0.9450082280004833,17
hvg_pca,S2_leave_donor_out,mondrian,<1%,0.1267436974789916,1
hvg_pca,S2_leave_donor_out,mondrian,1-5%,0.8031415187293988,20
hvg_pca,S2_leave_donor_out,mondrian,5-20%,0.8469051170994036,60
hvg_pca,S2_leave_donor_out,mondrian,>20%,0.9375842739957674,17
hvg_pca,S3_leave_dataset_out,marginal,<1%,0.3268581081081081,1
hvg_pca,S3_leave_dataset_out,marginal,1-5%,0.8486107325728817,20
hvg_pca,S3_leave_dataset_out,marginal,5-20%,0.7931221730152829,60
hvg_pca,S3_leave_dataset_out,marginal,>20%,0.9643632178296232,17
hvg_pca,S3_leave_dataset_out,mondrian,<1%,0.3733108108108108,1
hvg_pca,S3_leave_dataset_out,mondrian,1-5%,0.8495222796905113,20
hvg_pca,S3_leave_dataset_out,mondrian,5-20%,0.8182467071256186,60
hvg_pca,S3_leave_dataset_out,mondrian,>20%,0.9130227755564225,17
scgpt,S1_within_dataset,marginal,<1%,0.3296551724137931,1
scgpt,S1_within_dataset,marginal,1-5%,0.825912623923655,20
scgpt,S1_within_dataset,marginal,5-20%,0.8806294408170235,60
scgpt,S1_within_dataset,marginal,>20%,0.9298692837579513,17
scgpt,S1_within_dataset,mondrian,<1%,0.2593103448275862,1
scgpt,S1_within_dataset,mondrian,1-5%,0.8197556480960723,20
scgpt,S1_within_dataset,mondrian,5-20%,0.8628747510315242,60
scgpt,S1_within_dataset,mondrian,>20%,0.9353583106199528,17
scgpt,S2_leave_donor_out,marginal,<1%,0.21465686274509804,1
scgpt,S2_leave_donor_out,marginal,1-5%,0.8154651078318864,20
scgpt,S2_leave_donor_out,marginal,5-20%,0.8738336505713887,60
scgpt,S2_leave_donor_out,marginal,>20%,0.9321237024337319,17
scgpt,S2_leave_donor_out,mondrian,<1%,0.12102941176470589,1
scgpt,S2_leave_donor_out,mondrian,1-5%,0.795746648887418,20
