representation,scheme,variant,class_name,n_instances,n_insufficient,mean_n_calibration,frac_insufficient
geneformer,S3_leave_dataset_out,mondrian,DC,11034,360,2061.145187601958,0.03262642740619902
geneformer,S3_leave_dataset_out,mondrian,Epithelial,11034,3960,1508.5024469820555,0.35889070146818924
geneformer,S3_leave_dataset_out,mondrian,Mast,11034,1260,1300.2969004893964,0.11419249592169657
geneformer,S3_leave_dataset_out,mondrian,NK,11034,5454,1462.05220228385,0.49429037520391517
geneformer,S3_leave_dataset_out,mondrian,Neutrophil,10530,7002,896.7179487179487,0.6649572649572649
geneformer,S3_leave_dataset_out,mondrian,Treg,11034,4068,1006.2169657422512,0.36867862969004894
harmony,S3_leave_dataset_out,mondrian,DC,10530,324,2060.892307692308,0.03076923076923077
harmony,S3_leave_dataset_out,mondrian,Epithelial,10530,3726,1529.553846153846,0.35384615384615387
harmony,S3_leave_dataset_out,mondrian,Mast,10530,1134,1334.6153846153845,0.1076923076923077
harmony,S3_leave_dataset_out,mondrian,NK,10530,5184,1431.676923076923,0.49230769230769234
harmony,S3_leave_dataset_out,mondrian,Neutrophil,10044,6642,921.6290322580645,0.6612903225806451
harmony,S3_leave_dataset_out,mondrian,Treg,10530,3888,990.8923076923077,0.36923076923076925
hvg_pca,S3_leave_dataset_out,mondrian,DC,11016,360,2059.4771241830067,0.032679738562091505
hvg_pca,S3_leave_dataset_out,mondrian,Epithelial,11016,3960,1504.1846405228757,0.35947712418300654
hvg_pca,S3_leave_dataset_out,mondrian,Mast,11016,1260,1297.0964052287582,0.11437908496732026
hvg_pca,S3_leave_dataset_out,mondrian,NK,11016,5436,1464.4411764705883,0.4934640522875817
hvg_pca,S3_leave_dataset_out,mondrian,Neutrophil,10512,7002,898.1352739726027,0.666095890410959
hvg_pca,S3_leave_dataset_out,mondrian,Treg,11016,4050,1007.8611111111111,0.36764705882352944
scgpt,S3_leave_dataset_out,mondrian,DC,11016,360,2059.4771241830067,0.032679738562091505
scgpt,S3_leave_dataset_out,mondrian,Epithelial,11016,3960,1504.1846405228757,0.35947712418300654
scgpt,S3_leave_dataset_out,mondrian,Mast,11016,1260,1297.0964052287582,0.11437908496732026
scgpt,S3_leave_dataset_out,mondrian,NK,11016,5436,1464.4411764705883,0.4934640522875817
scgpt,S3_leave_dataset_out,mondrian,Neutrophil,10512,7002,898.1352739726027,0.666095890410959
scgpt,S3_leave_dataset_out,mondrian,Treg,11016,4050,1007.8611111111111,0.36764705882352944
scvi,S3_leave_dataset_out,mondrian,DC,10530,324,2060.892307692308,0.03076923076923077
scvi,S3_leave_dataset_out,mondrian,Epithelial,10530,3726,1529.553846153846,0.35384615384615387
scvi,S3_leave_dataset_out,mondrian,Mast,10530,1134,1334.6153846153845,0.1076923076923077
scvi,S3_leave_dataset_out,mondrian,NK,10530,5184,1431.676923076923,0.49230769230769234
scvi,S3_leave_dataset_out,mondrian,Neutrophil,10044,6642,921.6290322580645,0.6612903225806451
scvi,S3_leave_dataset_out,mondrian,Treg,10530,3888,990.8923076923077,0.36923076923076925
