scheme,stratum,marginal,mondrian,mondrian_minus_marginal
S1_within_dataset,<1%,0.3115862068965517,0.2711724137931034,-0.0404
S1_within_dataset,1-5%,0.7844833789715266,0.826988638782652,0.0425
S1_within_dataset,5-20%,0.8599535091800402,0.8620488527167999,0.0021
S1_within_dataset,>20%,0.9331679857668288,0.9320279435089496,-0.0011
S2_leave_donor_out,<1%,0.16116666666666668,0.1644579831932773,0.0033
S2_leave_donor_out,1-5%,0.7524805571301849,0.7928122867232942,0.0403
S2_leave_donor_out,5-20%,0.8525297635321254,0.853381731471541,0.0009
S2_leave_donor_out,>20%,0.9284981877301957,0.9131110899195417,-0.0154
S3_leave_dataset_out,<1%,0.30510135135135136,0.39636824324324327,0.0913
S3_leave_dataset_out,1-5%,0.8166770342453229,0.8444874943672114,0.0278
S3_leave_dataset_out,5-20%,0.8033569731119096,0.8286628202353642,0.0253
S3_leave_dataset_out,>20%,0.9470693165986581,0.8995624282518578,-0.0475
