rho_all13,p_all13,dropped,rho,exact_p,rank_order,gap_geneformer,gap_hvg_pca,gf_worse_than_hvg
1.0,0.0167,BRCA_GSE161529,0.9,0.0833,43201,0.0515,0.0065,True
1.0,0.0167,BRCA_GSE176078,1.0,0.0167,43210,0.0653,0.027,True
1.0,0.0167,CHOL_GSE125449_aPD1aPDL1aCTLA4,1.0,0.0167,43210,0.0617,0.0233,True
1.0,0.0167,CRC_GSE108989,1.0,0.0167,43210,0.0703,0.0277,True
1.0,0.0167,CRC_GSE146771_10X,1.0,0.0167,43210,0.0656,0.0267,True
1.0,0.0167,HNSC_GSE103322,0.7,0.2333,24310,0.0206,0.0248,False
1.0,0.0167,LIHC_GSE140228_10X,1.0,0.0167,43210,0.059,0.0169,True
1.0,0.0167,LIHC_GSE98638,1.0,0.0167,43210,0.0687,0.0278,True
1.0,0.0167,NSCLC_GSE127465,1.0,0.0167,43210,0.0656,0.0225,True
1.0,0.0167,NSCLC_GSE131907,0.9,0.0833,43201,0.0474,0.003,True
1.0,0.0167,PAAD_GSE111672,1.0,0.0167,43210,0.0644,0.0217,True
1.0,0.0167,PAAD_GSE154778,1.0,0.0167,43210,0.0671,0.0196,True
1.0,0.0167,STAD_GSE134520,1.0,0.0167,43210,0.0586,0.0154,True
