representation,nominal,variant,absorption,auroc,seen_cov
geneformer,0.8,marginal,1.0,0.4762809330916129,0.800177769730567
geneformer,0.8,mondrian,0.7985082058915692,0.4762809330916129,0.8001281576143828
geneformer,0.9,marginal,1.0,0.4762809330916129,0.9000797992513337
geneformer,0.9,mondrian,0.9389217800046964,0.4762809330916129,0.8995177166771912
geneformer,0.95,marginal,1.0,0.4762809330916129,0.9501476400582397
geneformer,0.95,mondrian,0.9799847736296474,0.4762809330916129,0.9499085739026739
harmony,0.8,marginal,0.9718163093764131,0.6019228113765432,0.7990409763476429
harmony,0.8,mondrian,0.8546975046166043,0.6019228113765432,0.8007485774794348
harmony,0.9,marginal,1.0,0.6019228113765432,0.899940576100553
harmony,0.9,mondrian,0.9707661258343557,0.6019228113765432,0.8995836866162576
harmony,0.95,marginal,1.0,0.6019228113765432,0.9499944570292614
harmony,0.95,mondrian,0.9997026131946961,0.6019228113765432,0.9504911314000422
hvg_pca,0.8,marginal,0.9872732559439933,0.595966023817948,0.8004375072743262
hvg_pca,0.8,mondrian,0.8618177681060948,0.595966023817948,0.8024923911561052
hvg_pca,0.9,marginal,1.0,0.595966023817948,0.9003569667036526
hvg_pca,0.9,mondrian,0.9974965986394557,0.595966023817948,0.9054510698665245
hvg_pca,0.95,marginal,1.0,0.595966023817948,0.9507210203850026
hvg_pca,0.95,mondrian,1.0,0.595966023817948,0.96103639745911
scgpt,0.8,marginal,1.0,0.4400990489321259,0.7999670576989774
scgpt,0.8,mondrian,0.8020269813931613,0.4400990489321259,0.8013360235939985
scgpt,0.9,marginal,1.0,0.4400990489321259,0.9000069748529691
scgpt,0.9,mondrian,0.9255406127060192,0.4400990489321259,0.900434933834381
scgpt,0.95,marginal,1.0,0.4400990489321259,0.9504528259273102
scgpt,0.95,mondrian,0.977822456789923,0.4400990489321259,0.9507379015797188
scvi,0.8,marginal,0.7179880944572075,0.6393369451830063,0.7992125185536941
scvi,0.8,mondrian,0.6410691769915426,0.6393369451830063,0.7993548440085084
scvi,0.9,marginal,0.9903229593910248,0.6393369451830063,0.8997817724954473
scvi,0.9,mondrian,0.9404622559587894,0.6393369451830063,0.8999432319702476
scvi,0.95,marginal,1.0,0.6393369451830063,0.9497492737246067
scvi,0.95,mondrian,0.9973182467843168,0.6393369451830063,0.9502199559396595
