scheme,seed,holdout_group,file,n_train,classes_train,datasets_train,n_calibration,classes_calibration,datasets_calibration,n_test,classes_test,datasets_test,classes_learnable,classes_test_only
S1_within_dataset,0,,S1_within_dataset__seed0.parquet,137881,14,13,45957,14,13,45963,14,13,14,0
S1_within_dataset,1,,S1_within_dataset__seed1.parquet,137881,14,13,45957,14,13,45963,14,13,14,0
S1_within_dataset,2,,S1_within_dataset__seed2.parquet,137881,14,13,45957,14,13,45963,14,13,14,0
S1_within_dataset,3,,S1_within_dataset__seed3.parquet,137881,14,13,45957,14,13,45963,14,13,14,0
S1_within_dataset,4,,S1_within_dataset__seed4.parquet,137881,14,13,45957,14,13,45963,14,13,14,0
S2_leave_donor_out,0,,S2_leave_donor_out__seed0.parquet,142131,14,13,42347,14,13,45323,14,13,14,0
S2_leave_donor_out,1,,S2_leave_donor_out__seed1.parquet,127921,14,13,42218,14,13,59662,14,13,14,0
S2_leave_donor_out,2,,S2_leave_donor_out__seed2.parquet,147825,14,13,42108,14,13,39868,14,13,14,0
S2_leave_donor_out,3,,S2_leave_donor_out__seed3.parquet,143577,14,13,38570,14,13,47654,14,13,14,0
S2_leave_donor_out,4,,S2_leave_donor_out__seed4.parquet,143036,14,13,40040,14,13,46725,14,13,14,0
S3_leave_dataset_out,0,GSE103322,S3_leave_dataset_out__seed0__holdout-GSE103322.parquet,176698,14,9,47219,12,3,5884,8,1,8,0
S3_leave_dataset_out,0,GSE108989,S3_leave_dataset_out__seed0__holdout-GSE108989.parquet,171661,14,9,47219,12,3,10921,3,1,3,0
S3_leave_dataset_out,0,GSE111672,S3_leave_dataset_out__seed0__holdout-GSE111672.parquet,171661,14,9,55877,11,3,2263,7,1,7,0
S3_leave_dataset_out,0,GSE125449,S3_leave_dataset_out__seed0__holdout-GSE125449.parquet,169489,14,9,55877,11,3,4435,8,1,8,0
S3_leave_dataset_out,0,GSE127465,S3_leave_dataset_out__seed0__holdout-GSE127465.parquet,143924,14,9,55877,11,3,30000,12,1,12,0
S3_leave_dataset_out,0,GSE131907,S3_leave_dataset_out__seed0__holdout-GSE131907.parquet,143919,14,9,55877,11,3,30005,10,1,10,0
